elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 235538, 195, 1052.5, 1045.7, 1492.0, 1734.1, 2235.5, 5904, 0
20, 10, 235239, 185, 1006.4, 998.9, 1419.4, 1600.7, 1883.5, 5480, 0
30, 10, 236120, 118, 1015.1, 1002.2, 1474.1, 1711.4, 1994.0, 4859, 0
40, 10, 236416, 147, 1014.8, 1012.6, 1458.7, 1699.6, 1975.8, 5114, 0
50, 10, 236357, 137, 1024.3, 1021.0, 1454.6, 1670.7, 1947.5, 5689, 0
60, 10, 235820, 142, 1031.6, 1034.8, 1467.1, 1684.4, 1942.7, 4164, 0
70, 10, 234687, 211, 1009.6, 1009.8, 1424.5, 1599.9, 1749.5, 5006, 0
80, 10, 236335, 160, 1026.3, 1021.9, 1472.1, 1701.1, 1962.6, 5420, 0
90, 10, 234521, 211, 1021.2, 1029.7, 1436.4, 1612.0, 1749.8, 5230, 0
100, 10, 235695, 133, 1017.2, 1021.6, 1429.7, 1597.9, 1827.9, 5499, 0
110, 10, 236238, 185, 1035.0, 1025.0, 1493.3, 1746.2, 2243.4, 5089, 0
120, 10, 235233, 173, 1033.8, 1029.7, 1486.1, 1712.9, 1980.9, 5146, 0
130, 10, 236390, 129, 1027.3, 1028.6, 1463.8, 1678.5, 1909.3, 5674, 0
140, 10, 236289, 220, 1006.8, 1003.1, 1415.5, 1582.2, 1817.4, 4927, 0
150, 10, 235143, 158, 1021.9, 1014.4, 1460.4, 1685.3, 1986.5, 5492, 0
160, 10, 236490, 168, 1013.7, 1007.9, 1450.5, 1670.3, 1934.8, 5858, 0
170, 10, 236221, 197, 1023.5, 1014.6, 1464.7, 1686.1, 1948.5, 5246, 0
180, 10, 237272, 174, 1042.1, 1030.9, 1500.1, 1755.5, 2208.3, 4133, 0
190, 10, 235375, 126, 1039.7, 1035.0, 1490.2, 1718.4, 1981.9, 5639, 0
200, 10, 236102, 158, 1019.8, 1007.5, 1473.4, 1708.5, 1968.4, 3688, 0
210, 10, 236504, 168, 1024.4, 1023.5, 1464.6, 1684.3, 1938.8, 4815, 0
220, 10, 236068, 171, 1019.9, 1009.7, 1465.2, 1702.9, 1980.6, 5128, 0
230, 10, 236329, 184, 1031.2, 1032.3, 1463.5, 1676.4, 1933.4, 5556, 0
240, 10, 236077, 183, 1044.9, 1043.2, 1484.6, 1714.3, 1986.3, 5065, 0
250, 10, 236768, 200, 1041.5, 1027.4, 1496.0, 1731.1, 1991.8, 3923, 0
