elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 15134, 145, 21962.6, 10262.9, 69893.7, 256332.5, 412246.6, 839003, 0
20, 10, 28902, 144, 16311.5, 10739.2, 44900.8, 71177.9, 556762.3, 568392, 0
30, 10, 31487, 144, 18155.0, 13593.2, 50473.8, 83141.3, 151878.2, 319949, 0
40, 10, 29601, 102, 16398.7, 11635.2, 50349.2, 74035.4, 130299.9, 190583, 0
51, 10, 33904, 120, 15698.1, 11350.8, 46602.1, 71387.8, 97137.0, 114146, 0
61, 10, 31857, 101, 14294.0, 10832.6, 39501.3, 63336.8, 91261.9, 105459, 0
71, 10, 31841, 116, 13893.7, 10014.6, 41866.9, 70579.5, 99513.2, 115545, 0
81, 10, 31622, 96, 13588.2, 9446.4, 41027.9, 81597.5, 145297.3, 178422, 0
92, 10, 45027, 96, 2079.0, 1621.2, 5472.7, 7867.1, 10113.0, 12647, 0
102, 10, 45293, 108, 2110.5, 1650.4, 5602.6, 7627.1, 11835.4, 16265, 0
112, 10, 45284, 94, 2032.1, 1579.7, 5436.0, 7348.3, 9959.2, 11948, 0
122, 10, 45409, 99, 2067.6, 1629.3, 5460.9, 7666.4, 9634.2, 13237, 0
133, 10, 45256, 88, 2058.7, 1650.4, 5212.7, 7042.6, 9418.2, 13073, 0
143, 10, 45312, 95, 2064.4, 1629.9, 5389.3, 7588.6, 11234.4, 15731, 0
153, 10, 45605, 96, 2042.6, 1624.3, 5192.5, 7503.3, 11213.5, 12602, 0
163, 10, 45171, 107, 1933.2, 1530.2, 5098.3, 6882.6, 9195.7, 11483, 0
174, 10, 45492, 126, 1966.8, 1579.5, 5046.1, 6946.3, 9625.2, 12254, 0
184, 10, 45467, 82, 1961.0, 1557.4, 5030.3, 7432.2, 9493.5, 13262, 0
194, 10, 45221, 95, 2131.6, 1643.6, 5778.8, 7931.0, 11077.2, 12888, 0
204, 10, 45194, 107, 2013.4, 1573.6, 5321.9, 7426.9, 9957.8, 11737, 0
215, 10, 45047, 89, 1923.7, 1514.5, 5090.4, 7179.5, 9489.1, 11424, 0
225, 10, 44931, 118, 2078.6, 1620.8, 5520.6, 7300.6, 9155.2, 11488, 0
235, 10, 45364, 89, 2101.6, 1584.3, 5763.5, 8006.8, 10138.5, 12289, 0
245, 10, 45136, 126, 1986.0, 1551.9, 5251.6, 7406.0, 11226.3, 14311, 0
256, 10, 45217, 93, 2050.6, 1614.6, 5344.9, 7267.6, 9696.4, 13662, 0
266, 10, 45401, 103, 2083.4, 1633.6, 5453.5, 7488.7, 9294.4, 12189, 0
276, 10, 45337, 108, 2121.3, 1634.2, 5770.4, 8010.8, 10018.4, 12196, 0
286, 10, 44790, 100, 1801.0, 1441.0, 4636.5, 6817.3, 9573.0, 13712, 0
297, 10, 45539, 94, 2145.5, 1651.8, 5636.4, 8177.5, 12555.9, 14503, 0
307, 10, 45772, 88, 2126.7, 1674.7, 5552.5, 7748.1, 9820.5, 13647, 0
317, 10, 45308, 103, 2060.9, 1633.0, 5287.3, 7417.5, 10884.6, 13958, 0
327, 10, 45012, 102, 2030.5, 1574.5, 5389.1, 7534.1, 10624.8, 12163, 0
338, 10, 45355, 128, 2027.0, 1609.8, 5182.9, 7410.1, 10741.1, 14365, 0
348, 10, 45229, 101, 1929.3, 1531.5, 4905.9, 7178.6, 10461.6, 11782, 0
358, 10, 45546, 95, 2013.7, 1609.1, 5259.5, 7189.2, 9092.8, 12247, 0
368, 10, 45190, 105, 2022.5, 1595.3, 5300.6, 7633.8, 10823.3, 12314, 0
379, 10, 45436, 92, 2062.5, 1586.9, 5575.6, 8017.6, 10913.0, 14078, 0
389, 10, 45130, 104, 1989.9, 1602.6, 5111.1, 7109.9, 9709.6, 13039, 0
399, 10, 44936, 87, 1765.8, 1432.8, 4389.9, 6441.4, 8834.7, 13228, 0
409, 10, 45114, 100, 2091.1, 1607.4, 5647.8, 8003.4, 11147.1, 15338, 0
420, 10, 45434, 101, 2130.1, 1636.6, 5606.1, 7477.1, 12127.4, 17417, 0
430, 10, 45485, 84, 2081.1, 1670.4, 5262.6, 7503.2, 9456.4, 12656, 0
440, 10, 45238, 108, 2028.6, 1607.6, 5312.6, 7381.9, 9394.1, 13787, 0
450, 10, 45152, 107, 2049.9, 1565.6, 5561.7, 8081.9, 10726.0, 12948, 0
461, 10, 45148, 102, 2107.2, 1651.2, 5534.5, 7498.9, 9947.5, 14856, 0
471, 10, 45088, 90, 2140.4, 1637.5, 5691.9, 7910.0, 11685.7, 18379, 0
481, 10, 45209, 101, 2139.5, 1663.2, 5581.7, 7579.7, 10188.3, 12979, 0
491, 10, 45366, 104, 1893.3, 1502.2, 4882.2, 7180.0, 9840.8, 13835, 0
502, 10, 45401, 99, 2063.1, 1609.9, 5523.3, 7473.2, 9376.9, 12823, 0
512, 10, 45142, 100, 2093.8, 1601.6, 5769.1, 8294.3, 11176.0, 15407, 0
522, 10, 45315, 93, 2027.2, 1599.3, 5322.3, 7215.0, 9994.4, 13863, 0
532, 10, 45668, 95, 1974.3, 1589.9, 5113.5, 7163.7, 9049.2, 12769, 0
543, 10, 45486, 99, 2001.3, 1582.6, 5179.3, 7350.3, 9875.4, 13523, 0
553, 10, 45441, 117, 2040.3, 1600.6, 5352.2, 7633.3, 9586.3, 10980, 0
563, 10, 45253, 90, 2055.7, 1621.7, 5337.9, 7350.6, 9531.2, 10933, 0
573, 10, 45728, 110, 1976.1, 1545.5, 5183.2, 7364.5, 9244.1, 12254, 0
584, 10, 45245, 106, 2116.8, 1627.1, 5696.2, 7847.4, 10922.2, 19224, 0
594, 10, 44964, 117, 2028.4, 1572.2, 5358.1, 7774.5, 10325.9, 13212, 0
604, 10, 45318, 95, 2126.4, 1607.2, 5913.4, 8508.1, 11583.8, 15081, 0
614, 10, 45260, 100, 1975.3, 1541.7, 5243.2, 7432.5, 9248.0, 11312, 0
625, 10, 45219, 89, 2062.1, 1630.5, 5334.8, 7477.9, 9722.3, 12670, 0
635, 10, 44846, 89, 1947.5, 1554.7, 4930.5, 6677.3, 8913.5, 13075, 0
645, 10, 45244, 94, 2076.3, 1641.2, 5312.0, 7684.9, 9380.8, 12934, 0
655, 10, 45414, 91, 1988.2, 1554.8, 5334.4, 7743.8, 10159.8, 14793, 0
666, 10, 45134, 98, 1950.8, 1558.5, 4979.7, 7164.1, 9409.8, 13039, 0
676, 10, 45266, 98, 2141.6, 1672.4, 5604.8, 7736.8, 9678.8, 13327, 0
686, 10, 45267, 115, 2148.3, 1660.5, 5758.0, 7558.9, 9633.3, 12301, 0
696, 10, 45225, 89, 1987.6, 1578.4, 5086.9, 7262.2, 8998.5, 10447, 0
707, 10, 45293, 93, 2042.2, 1600.0, 5355.8, 7486.1, 11308.9, 15948, 0
717, 10, 45266, 107, 2057.8, 1587.2, 5635.4, 7814.4, 9647.9, 12150, 0
727, 10, 45442, 97, 2047.2, 1610.2, 5380.4, 7454.9, 11046.5, 13533, 0
737, 10, 45080, 91, 1956.2, 1546.1, 5106.8, 7189.7, 9961.4, 13212, 0
748, 10, 45244, 107, 2175.8, 1639.3, 5963.7, 8410.2, 10989.8, 15054, 0
758, 10, 45406, 98, 2116.3, 1636.5, 5698.5, 7635.0, 9554.0, 16528, 0
768, 10, 45164, 106, 2000.1, 1556.1, 5308.5, 7439.5, 9414.7, 14555, 0
778, 10, 45206, 124, 2105.7, 1632.5, 5612.9, 7965.0, 10719.4, 13869, 0
789, 10, 45406, 93, 2039.3, 1616.9, 5309.8, 7267.9, 9627.1, 12538, 0
