elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 59064, 123, 18171.6, 10152.2, 63918.7, 120181.7, 290234.0, 485042, 0
20, 10, 115465, 108, 16173.7, 10633.0, 45201.8, 72119.6, 545026.8, 568465, 0
30, 10, 126835, 102, 18276.1, 13658.1, 50767.0, 84318.4, 154895.6, 329455, 0
40, 10, 119013, 90, 16122.1, 11517.9, 49578.9, 69690.2, 121332.2, 190758, 0
51, 10, 135847, 87, 15656.9, 11449.3, 45593.2, 71125.2, 95757.6, 113811, 0
61, 10, 126282, 97, 14268.8, 10826.2, 39684.3, 63315.6, 90948.1, 111049, 0
71, 10, 126629, 92, 13807.7, 10099.4, 41298.9, 69782.3, 98049.0, 116067, 0
81, 10, 126327, 101, 13613.9, 9457.1, 40985.8, 78186.5, 145918.2, 179340, 0
92, 10, 181243, 92, 2094.6, 1636.0, 5498.1, 7848.2, 10047.2, 12430, 0
102, 10, 181382, 86, 2106.2, 1635.4, 5619.2, 7690.7, 11139.7, 16503, 0
112, 10, 182333, 93, 2021.1, 1578.6, 5373.1, 7313.9, 9753.4, 11975, 0
122, 10, 181140, 91, 2050.0, 1609.3, 5399.4, 7581.6, 9531.2, 13237, 0
133, 10, 182053, 93, 2058.8, 1657.7, 5219.6, 7036.3, 9599.8, 12960, 0
143, 10, 181792, 88, 2069.6, 1628.0, 5402.8, 7610.9, 11379.3, 16072, 0
153, 10, 182362, 87, 2027.5, 1617.8, 5151.9, 7347.8, 11125.8, 12881, 0
163, 10, 181191, 91, 1927.2, 1524.6, 5086.0, 6868.2, 9288.6, 11395, 0
174, 10, 181773, 95, 1961.2, 1570.4, 5036.1, 6901.1, 9501.6, 12496, 0
184, 10, 181106, 91, 1964.0, 1558.0, 5068.5, 7344.5, 9461.1, 13237, 0
194, 10, 181730, 86, 2125.3, 1635.8, 5744.9, 7900.2, 10800.4, 13147, 0
204, 10, 180957, 94, 2026.4, 1584.4, 5379.4, 7400.1, 9989.6, 14137, 0
215, 10, 180362, 88, 1918.2, 1508.7, 5091.5, 7254.2, 9567.7, 11720, 0
225, 10, 181216, 91, 2067.6, 1613.5, 5477.6, 7312.2, 9284.9, 11502, 0
235, 10, 180702, 82, 2108.8, 1594.3, 5753.1, 8022.7, 10214.3, 12303, 0
245, 10, 180504, 90, 1973.3, 1540.7, 5239.8, 7366.0, 11060.5, 14633, 0
256, 10, 180951, 78, 2028.5, 1599.2, 5267.6, 7273.6, 9658.9, 16296, 0
266, 10, 181251, 92, 2085.2, 1640.8, 5454.3, 7468.5, 9306.5, 13503, 0
276, 10, 181762, 91, 2115.3, 1636.5, 5760.8, 7959.2, 10259.4, 12666, 0
286, 10, 180422, 96, 1808.3, 1455.7, 4607.6, 6710.2, 9497.2, 13785, 0
297, 10, 180782, 86, 2145.0, 1656.3, 5656.7, 8280.2, 12465.8, 14765, 0
307, 10, 180639, 88, 2128.9, 1678.9, 5550.6, 7703.2, 9774.8, 13638, 0
317, 10, 180658, 93, 2078.2, 1645.0, 5356.1, 7599.7, 11003.1, 14108, 0
327, 10, 181163, 94, 2032.5, 1581.6, 5377.4, 7534.8, 10582.7, 12544, 0
338, 10, 181694, 94, 2026.1, 1610.4, 5180.6, 7466.8, 10891.7, 17276, 0
348, 10, 180790, 89, 1934.3, 1538.2, 4905.8, 7146.8, 10427.5, 12639, 0
358, 10, 180374, 98, 2010.6, 1608.1, 5235.2, 7120.5, 9156.9, 13462, 0
368, 10, 181422, 94, 2025.7, 1599.9, 5309.4, 7659.8, 10299.8, 12381, 0
379, 10, 180979, 91, 2075.2, 1604.8, 5535.4, 7981.3, 11091.0, 13879, 0
389, 10, 181334, 81, 1996.8, 1598.7, 5127.2, 7125.9, 9974.7, 13260, 0
399, 10, 179670, 94, 1768.7, 1441.4, 4385.9, 6359.0, 8820.9, 10734, 0
409, 10, 180479, 92, 2098.2, 1611.1, 5673.8, 8023.1, 10953.9, 15580, 0
420, 10, 180756, 97, 2131.7, 1636.5, 5657.5, 7599.4, 11713.4, 17422, 0
430, 10, 181963, 99, 2074.7, 1668.7, 5277.5, 7484.2, 9534.6, 12756, 0
440, 10, 181287, 102, 2029.6, 1603.2, 5344.2, 7527.3, 9795.3, 14554, 0
450, 10, 180640, 88, 2044.4, 1566.6, 5515.9, 8050.7, 10693.6, 13262, 0
461, 10, 181099, 94, 2114.9, 1655.9, 5583.8, 7606.9, 10405.5, 14903, 0
471, 10, 180681, 82, 2163.6, 1644.0, 5762.5, 8006.9, 11583.2, 19797, 0
481, 10, 180928, 87, 2148.4, 1661.4, 5648.4, 7617.3, 10089.6, 14098, 0
491, 10, 180965, 87, 1901.7, 1501.5, 4904.9, 7282.1, 10055.2, 14335, 0
502, 10, 181210, 85, 2059.5, 1597.1, 5540.2, 7525.7, 9762.4, 12915, 0
512, 10, 181758, 91, 2096.3, 1604.0, 5747.2, 8246.4, 11437.4, 15553, 0
522, 10, 180899, 84, 2024.1, 1587.7, 5324.6, 7296.9, 10096.8, 14294, 0
532, 10, 182250, 92, 1959.3, 1578.3, 5047.1, 7045.5, 8677.2, 12708, 0
543, 10, 182020, 83, 1991.7, 1581.7, 5152.1, 7371.4, 9962.0, 14045, 0
553, 10, 181487, 92, 2058.1, 1609.9, 5443.7, 7647.7, 9568.7, 11989, 0
563, 10, 181915, 99, 2064.6, 1629.7, 5388.0, 7393.2, 9527.6, 14405, 0
573, 10, 181792, 88, 1971.9, 1547.0, 5149.1, 7375.4, 9321.7, 12632, 0
584, 10, 181178, 82, 2100.3, 1608.5, 5666.1, 7816.6, 11282.5, 19645, 0
594, 10, 180283, 86, 2031.4, 1579.0, 5347.1, 7875.1, 10310.9, 13272, 0
604, 10, 181609, 97, 2119.0, 1606.8, 5832.1, 8492.8, 11635.2, 15332, 0
614, 10, 180436, 86, 1982.0, 1542.0, 5284.2, 7464.7, 9310.6, 11400, 0
625, 10, 181251, 83, 2061.8, 1635.5, 5334.4, 7447.2, 9689.6, 12955, 0
635, 10, 179391, 87, 1946.0, 1550.7, 4911.7, 6682.6, 8743.0, 12184, 0
645, 10, 181580, 94, 2059.0, 1627.4, 5278.9, 7631.1, 9457.6, 12857, 0
655, 10, 181698, 86, 2000.2, 1566.3, 5312.5, 7740.4, 10336.9, 14482, 0
666, 10, 180212, 93, 1957.3, 1566.3, 5009.7, 7140.7, 9557.1, 15458, 0
676, 10, 181151, 90, 2146.0, 1674.8, 5672.8, 7774.9, 9813.9, 13609, 0
686, 10, 181165, 93, 2147.2, 1658.0, 5756.7, 7534.1, 9347.6, 12437, 0
696, 10, 182130, 90, 1987.9, 1582.9, 5092.8, 7224.1, 9021.3, 14889, 0
707, 10, 181192, 104, 2031.6, 1596.1, 5325.6, 7446.1, 10878.3, 16004, 0
717, 10, 181321, 94, 2067.4, 1588.6, 5718.9, 7803.8, 9714.1, 12430, 0
727, 10, 181619, 90, 2038.5, 1609.7, 5348.3, 7408.6, 11171.2, 14905, 0
737, 10, 180054, 86, 1964.4, 1550.8, 5141.1, 7196.2, 9828.9, 13803, 0
748, 10, 180685, 83, 2158.4, 1634.6, 5880.7, 8351.0, 10902.3, 15246, 0
758, 10, 181312, 85, 2109.3, 1624.1, 5709.4, 7641.4, 9499.1, 16293, 0
768, 10, 181000, 93, 2003.6, 1562.8, 5294.6, 7365.9, 9631.6, 14979, 0
778, 10, 180759, 99, 2108.1, 1637.1, 5610.7, 7881.5, 10746.3, 16471, 0
789, 10, 181052, 83, 2034.5, 1611.4, 5286.1, 7291.0, 9437.0, 12741, 0
799, 10, 182186, 85, 2095.8, 1627.2, 5612.9, 7583.0, 9986.3, 12465, 0
809, 10, 180976, 84, 2217.3, 1680.6, 6087.2, 8216.6, 10696.2, 12378, 0
820, 10, 180359, 90, 1887.3, 1490.4, 4962.6, 6986.0, 9729.8, 12311, 0
830, 10, 180916, 85, 2170.6, 1686.0, 5756.9, 7594.9, 10125.8, 12394, 0
840, 10, 179977, 97, 1875.8, 1510.0, 4739.7, 6815.3, 9273.4, 11674, 0
850, 10, 180931, 86, 2040.2, 1624.8, 5245.3, 7295.2, 9180.3, 11723, 0
861, 10, 181614, 88, 2053.1, 1640.9, 5319.7, 7251.7, 9248.7, 11690, 0
871, 10, 182223, 80, 2098.7, 1669.1, 5306.9, 7694.8, 10717.8, 13800, 0
881, 10, 181888, 90, 2051.9, 1662.0, 5190.4, 7189.9, 9292.1, 12030, 0
891, 10, 181174, 91, 2003.8, 1565.0, 5327.7, 7129.5, 9138.6, 11569, 0
902, 10, 181337, 93, 2020.1, 1584.1, 5337.6, 7460.7, 9733.3, 14642, 0
912, 10, 181197, 89, 2131.7, 1645.3, 5673.1, 7916.7, 10187.8, 14260, 0
922, 10, 181912, 97, 1924.6, 1579.6, 4781.8, 6755.8, 9083.7, 11500, 0
932, 10, 181084, 95, 2146.7, 1661.0, 5734.3, 8129.3, 11442.9, 13947, 0
943, 10, 180870, 93, 2053.6, 1620.9, 5373.3, 7421.8, 9329.5, 12491, 0
953, 10, 180786, 94, 2174.5, 1634.7, 5942.8, 8129.4, 11282.1, 16571, 0
963, 10, 181552, 88, 2041.3, 1618.1, 5248.3, 7228.7, 10588.0, 13817, 0
973, 10, 181375, 88, 2018.6, 1607.9, 5279.3, 7188.6, 9403.9, 12059, 0
984, 10, 180589, 87, 2212.3, 1685.2, 6022.2, 7882.6, 9957.8, 15712, 0
994, 10, 181426, 92, 2077.3, 1637.5, 5356.1, 7517.8, 11368.7, 14740, 0
1004, 10, 180878, 86, 2057.2, 1616.0, 5335.0, 7327.5, 9101.3, 11272, 0
1014, 10, 180504, 90, 2041.2, 1596.2, 5387.7, 7613.7, 10244.5, 13172, 0
1025, 10, 181409, 90, 1994.5, 1595.1, 5061.5, 7358.9, 9664.3, 15974, 0
1035, 10, 180048, 94, 2178.3, 1678.9, 5764.2, 7682.3, 9436.1, 11091, 0
1045, 10, 180901, 97, 2139.3, 1634.6, 5749.5, 7815.1, 10750.9, 14487, 0
