elapsed, window, total, successful, failed
10, 10, 130983, 130983, 0
20, 10, 258649, 258649, 0
30, 10, 284237, 284237, 0
40, 10, 268086, 268086, 0
51, 10, 306659, 306659, 0
61, 10, 285850, 285850, 0
71, 10, 285454, 285454, 0
81, 10, 285165, 285165, 0
92, 10, 407600, 407600, 0
102, 10, 408088, 408088, 0
112, 10, 409424, 409424, 0
122, 10, 408511, 408511, 0
133, 10, 408616, 408616, 0
143, 10, 409238, 409238, 0
153, 10, 409997, 409997, 0
163, 10, 408077, 408077, 0
174, 10, 408549, 408549, 0
184, 10, 408258, 408258, 0
194, 10, 408553, 408553, 0
204, 10, 406850, 406850, 0
215, 10, 406001, 406001, 0
225, 10, 406423, 406423, 0
235, 10, 406775, 406775, 0
245, 10, 407235, 407235, 0
256, 10, 407586, 407586, 0
266, 10, 407915, 407915, 0
276, 10, 409106, 409106, 0
286, 10, 404110, 404110, 0
297, 10, 407008, 407008, 0
307, 10, 408415, 408415, 0
317, 10, 407527, 407527, 0
327, 10, 407906, 407906, 0
338, 10, 408741, 408741, 0
348, 10, 405804, 405804, 0
358, 10, 406343, 406343, 0
368, 10, 407654, 407654, 0
379, 10, 407486, 407486, 0
389, 10, 407776, 407776, 0
399, 10, 404612, 404612, 0
409, 10, 405896, 405896, 0
420, 10, 406772, 406772, 0
430, 10, 409705, 409705, 0
440, 10, 408301, 408301, 0
450, 10, 406087, 406087, 0
461, 10, 406969, 406969, 0
471, 10, 406791, 406791, 0
481, 10, 406969, 406969, 0
491, 10, 407421, 407421, 0
502, 10, 407852, 407852, 0
512, 10, 408229, 408229, 0
522, 10, 407261, 407261, 0
532, 10, 409882, 409882, 0
543, 10, 409376, 409376, 0
553, 10, 408760, 408760, 0
563, 10, 409213, 409213, 0
573, 10, 409404, 409404, 0
584, 10, 407433, 407433, 0
594, 10, 405432, 405432, 0
604, 10, 408264, 408264, 0
614, 10, 405804, 405804, 0
625, 10, 407853, 407853, 0
635, 10, 403632, 403632, 0
645, 10, 408367, 408367, 0
655, 10, 408705, 408705, 0
666, 10, 405706, 405706, 0
676, 10, 407031, 407031, 0
686, 10, 407931, 407931, 0
696, 10, 408965, 408965, 0
707, 10, 408360, 408360, 0
717, 10, 407481, 407481, 0
727, 10, 409552, 409552, 0
737, 10, 406209, 406209, 0
748, 10, 405968, 405968, 0
758, 10, 407414, 407414, 0
768, 10, 407003, 407003, 0
778, 10, 407615, 407615, 0
789, 10, 407297, 407297, 0
799, 10, 408142, 408142, 0
809, 10, 407873, 407873, 0
820, 10, 406278, 406278, 0
830, 10, 407228, 407228, 0
840, 10, 404657, 404657, 0
850, 10, 407067, 407067, 0
861, 10, 407756, 407756, 0
871, 10, 409535, 409535, 0
881, 10, 409779, 409779, 0
891, 10, 407571, 407571, 0
902, 10, 408138, 408138, 0
912, 10, 407707, 407707, 0
922, 10, 409070, 409070, 0
932, 10, 407235, 407235, 0
943, 10, 406924, 406924, 0
953, 10, 406869, 406869, 0
963, 10, 408706, 408706, 0
973, 10, 408158, 408158, 0
984, 10, 407127, 407127, 0
994, 10, 407926, 407926, 0
1004, 10, 407353, 407353, 0
1014, 10, 406751, 406751, 0
1025, 10, 409197, 409197, 0
1035, 10, 407612, 407612, 0
1045, 10, 407637, 407637, 0
1055, 10, 409696, 409696, 0
1066, 10, 407731, 407731, 0
1076, 10, 408884, 408884, 0
1086, 10, 409942, 409942, 0
1096, 10, 407777, 407777, 0
1107, 10, 406767, 406767, 0
1117, 10, 410275, 410275, 0
1127, 10, 408203, 408203, 0
1137, 10, 407490, 407490, 0
1148, 10, 406693, 406693, 0
1158, 10, 406174, 406174, 0
1168, 10, 405125, 405125, 0
1178, 10, 405583, 405583, 0
1189, 10, 405014, 405014, 0
1199, 10, 406964, 406964, 0
1209, 10, 406531, 406531, 0
1219, 10, 406918, 406918, 0
1230, 10, 406169, 406169, 0
1240, 10, 406480, 406480, 0
1250, 10, 408596, 408596, 0
1260, 10, 408387, 408387, 0
1271, 10, 407090, 407090, 0
1281, 10, 408214, 408214, 0
1291, 10, 272105, 272105, 0
1301, 10, 255569, 255569, 0
1311, 10, 247647, 247647, 0
1313, 1, 34277, 34277, 0
