elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 96210, 107, 384.1, 364.9, 499.7, 699.5, 745.4, 1651, 0
20, 10, 95684, 128, 383.9, 361.5, 494.5, 670.7, 742.1, 763, 0
30, 10, 96141, 134, 380.3, 348.5, 493.4, 664.9, 741.6, 763, 0
40, 10, 96310, 145, 378.8, 341.9, 492.9, 663.2, 741.4, 765, 0
50, 10, 96096, 143, 372.9, 327.0, 593.9, 718.8, 746.9, 771, 0
60, 10, 94157, 120, 402.5, 382.2, 644.9, 729.0, 747.9, 740, 0
70, 10, 95170, 121, 394.2, 380.0, 603.0, 720.6, 747.1, 685, 0
80, 10, 95035, 121, 388.9, 367.4, 493.7, 659.3, 740.9, 682, 0
90, 10, 95733, 147, 382.4, 354.1, 495.8, 682.1, 743.2, 674, 0
100, 10, 95832, 126, 381.0, 347.4, 492.1, 651.5, 740.2, 712, 0
110, 10, 96287, 138, 377.7, 336.0, 541.9, 708.4, 745.8, 644, 0
120, 10, 95449, 126, 383.6, 350.5, 630.6, 726.1, 747.6, 725, 0
130, 10, 94603, 120, 400.7, 385.9, 638.8, 727.8, 747.8, 696, 0
140, 10, 95106, 122, 391.3, 372.4, 498.9, 695.8, 744.6, 686, 0
150, 10, 95952, 125, 385.1, 363.0, 494.8, 672.9, 742.3, 691, 0
160, 10, 95568, 129, 380.9, 349.2, 494.8, 676.5, 742.6, 654, 0
170, 10, 96115, 134, 379.2, 343.4, 492.2, 655.1, 740.5, 704, 0
180, 10, 96028, 144, 373.7, 328.1, 587.7, 717.5, 746.8, 677, 0
190, 10, 94445, 123, 398.0, 376.1, 638.6, 727.8, 747.9, 768, 0
200, 10, 95087, 120, 394.6, 381.8, 616.2, 723.2, 747.3, 711, 0
210, 10, 95367, 119, 387.7, 368.3, 493.9, 660.8, 741.1, 683, 0
220, 10, 95748, 124, 382.3, 355.8, 495.7, 680.8, 743.1, 674, 0
230, 10, 96026, 131, 381.8, 348.3, 492.0, 650.3, 740.0, 724, 0
240, 10, 96284, 145, 377.5, 336.7, 499.9, 699.8, 745.0, 732, 0
250, 10, 95517, 125, 380.3, 343.1, 625.9, 725.2, 747.5, 789, 0
260, 10, 94228, 120, 402.3, 386.4, 640.4, 728.1, 747.8, 708, 0
270, 10, 95416, 121, 391.4, 374.5, 531.1, 706.2, 745.6, 742, 0
280, 10, 95315, 125, 386.4, 364.8, 494.9, 672.9, 742.3, 713, 0
290, 10, 95460, 123, 381.4, 349.5, 496.0, 683.8, 743.4, 771, 0
300, 10, 96095, 127, 379.2, 344.8, 490.8, 635.0, 738.5, 684, 0
310, 10, 96673, 144, 374.1, 329.7, 575.4, 715.1, 746.6, 778, 0
320, 10, 94872, 121, 391.5, 371.0, 640.9, 728.2, 747.8, 746, 0
330, 10, 95141, 123, 392.2, 376.4, 563.3, 712.7, 746.3, 780, 0
340, 10, 94908, 122, 387.3, 365.9, 493.7, 660.5, 741.0, 684, 0
350, 10, 95745, 142, 382.0, 350.7, 496.1, 684.2, 743.4, 654, 0
360, 10, 95920, 134, 380.6, 345.8, 491.8, 649.6, 740.1, 784, 0
370, 10, 96887, 142, 374.7, 330.6, 546.7, 709.3, 745.9, 705, 0
380, 10, 94589, 123, 393.1, 365.7, 640.1, 728.0, 747.8, 748, 0
390, 10, 94705, 121, 398.5, 384.6, 633.1, 726.6, 747.7, 775, 0
400, 10, 94545, 121, 390.2, 370.5, 495.6, 677.2, 742.9, 864, 0
410, 10, 95444, 133, 383.2, 359.1, 495.1, 675.8, 742.6, 686, 0
420, 10, 96595, 131, 380.3, 348.5, 492.2, 652.7, 740.3, 724, 0
430, 10, 95982, 135, 378.7, 339.7, 496.6, 687.7, 743.8, 652, 0
440, 10, 96832, 141, 372.6, 326.3, 608.3, 721.7, 747.2, 723, 0
450, 10, 93729, 121, 407.0, 387.5, 644.8, 729.0, 747.9, 734, 0
460, 10, 94671, 121, 394.1, 377.8, 583.3, 716.7, 746.7, 689, 0
470, 10, 96056, 124, 386.7, 366.4, 492.9, 648.8, 739.9, 695, 0
480, 10, 95784, 125, 381.9, 351.8, 495.9, 682.8, 743.3, 740, 0
490, 10, 95940, 120, 380.7, 346.7, 491.8, 647.9, 739.8, 680, 0
500, 10, 95752, 144, 375.9, 333.0, 548.6, 709.7, 746.0, 688, 0
510, 10, 95044, 125, 388.5, 358.4, 632.2, 726.5, 747.7, 803, 0
520, 10, 94972, 121, 399.0, 385.0, 634.3, 726.9, 747.7, 794, 0
530, 10, 95260, 122, 390.8, 371.2, 496.9, 686.0, 743.6, 681, 0
540, 10, 95474, 128, 384.4, 361.1, 495.1, 675.9, 742.7, 807, 0
550, 10, 95475, 127, 382.5, 349.5, 494.0, 669.8, 742.0, 684, 0
560, 10, 96059, 146, 378.9, 341.4, 494.1, 673.4, 742.3, 689, 0
570, 10, 95759, 142, 374.0, 327.9, 608.3, 721.7, 747.2, 695, 0
580, 10, 93775, 118, 404.4, 384.0, 647.3, 729.5, 748.0, 768, 0
590, 10, 95625, 122, 394.0, 380.1, 602.6, 720.5, 747.1, 697, 0
600, 10, 94973, 123, 389.1, 367.2, 493.9, 661.6, 741.2, 730, 0
610, 10, 96025, 128, 381.7, 353.6, 495.6, 680.8, 743.1, 649, 0
620, 10, 95498, 141, 381.5, 347.2, 492.4, 655.3, 740.5, 705, 0
630, 10, 96511, 145, 376.6, 334.7, 533.4, 706.7, 745.7, 659, 0
640, 10, 95845, 124, 385.7, 352.3, 632.1, 726.5, 747.7, 778, 0
650, 10, 94512, 119, 401.1, 386.0, 639.4, 727.9, 747.8, 733, 0
660, 10, 95034, 121, 390.9, 372.8, 499.9, 699.6, 745.0, 691, 0
670, 10, 95578, 127, 385.4, 362.8, 495.1, 674.7, 742.5, 718, 0
680, 10, 96305, 136, 380.8, 348.9, 494.7, 675.5, 742.6, 672, 0
690, 10, 96519, 126, 378.9, 343.1, 492.8, 661.6, 741.2, 590, 0
700, 10, 96322, 144, 374.4, 328.9, 600.5, 720.1, 747.0, 656, 0
710, 10, 94080, 122, 400.6, 378.2, 642.0, 728.4, 747.8, 712, 0
720, 10, 95039, 119, 395.8, 381.4, 613.4, 722.7, 747.3, 684, 0
730, 10, 95425, 123, 387.8, 368.1, 493.6, 657.2, 740.8, 782, 0
740, 10, 95310, 147, 384.1, 355.5, 496.6, 686.2, 743.6, 656, 0
750, 10, 95557, 128, 381.9, 348.4, 492.0, 649.8, 740.0, 668, 0
760, 10, 96282, 143, 376.4, 335.7, 499.2, 697.8, 744.9, 820, 0
770, 10, 95060, 124, 382.4, 345.5, 633.5, 726.7, 747.7, 752, 0
780, 10, 93945, 120, 403.3, 386.7, 641.3, 728.3, 747.8, 712, 0
790, 10, 95263, 123, 392.9, 374.6, 530.5, 706.1, 745.6, 676, 0
800, 10, 95001, 123, 386.6, 364.4, 495.0, 673.6, 742.4, 674, 0
810, 10, 95683, 131, 382.2, 349.6, 495.6, 681.1, 743.1, 679, 0
820, 10, 96267, 127, 379.8, 344.9, 491.2, 640.9, 739.2, 768, 0
830, 10, 96112, 142, 374.1, 329.0, 574.4, 714.9, 746.5, 696, 0
840, 10, 94307, 122, 397.2, 373.4, 641.8, 728.4, 747.9, 777, 0
850, 10, 95087, 121, 396.1, 383.3, 624.9, 725.0, 747.5, 731, 0
860, 10, 94726, 122, 390.4, 369.7, 495.1, 672.8, 742.3, 738, 0
870, 10, 96006, 129, 382.3, 356.8, 495.5, 679.6, 743.0, 718, 0
880, 10, 96036, 142, 381.2, 348.4, 491.5, 642.7, 739.3, 663, 0
890, 10, 95641, 146, 377.9, 337.4, 499.1, 697.3, 744.8, 821, 0
900, 10, 95598, 126, 378.9, 339.2, 633.1, 726.6, 747.7, 708, 0
910, 10, 93488, 120, 405.0, 387.2, 643.6, 728.7, 747.9, 700, 0
920, 10, 95324, 120, 392.1, 376.1, 559.5, 711.9, 746.2, 703, 0
930, 10, 95234, 130, 387.3, 365.6, 494.5, 669.2, 741.9, 691, 0
940, 10, 95107, 144, 383.1, 351.2, 496.5, 686.2, 743.6, 678, 0
950, 10, 95902, 125, 381.0, 346.2, 492.4, 655.7, 740.6, 648, 0
960, 10, 95631, 142, 376.9, 333.3, 594.9, 719.0, 746.9, 656, 0
970, 10, 94358, 123, 394.6, 368.4, 643.8, 728.8, 747.9, 780, 0
980, 10, 94716, 121, 399.2, 384.7, 632.5, 726.5, 747.7, 797, 0
990, 10, 95544, 121, 390.0, 370.4, 495.8, 678.3, 742.8, 692, 0
1000, 10, 95383, 146, 384.7, 358.7, 496.3, 684.1, 743.4, 670, 0
1010, 10, 95869, 124, 381.4, 349.0, 492.5, 655.2, 740.5, 666, 0
1020, 10, 96029, 141, 380.3, 340.7, 498.4, 694.9, 744.5, 656, 0
1030, 10, 95612, 144, 375.7, 332.2, 632.4, 726.5, 747.6, 715, 0
1040, 10, 93630, 121, 406.5, 387.6, 644.8, 729.0, 747.9, 767, 0
1050, 10, 94804, 121, 393.7, 377.9, 580.2, 716.0, 746.6, 747, 0
1060, 10, 95363, 126, 388.1, 366.9, 493.9, 661.7, 741.2, 784, 0
1070, 10, 95420, 133, 383.1, 352.1, 496.6, 686.6, 743.7, 690, 0
1080, 10, 95713, 130, 381.8, 347.1, 492.3, 654.7, 740.5, 617, 0
1090, 10, 96032, 144, 377.0, 333.9, 565.9, 713.2, 746.3, 648, 0
1100, 10, 94885, 123, 390.5, 361.3, 636.8, 727.4, 747.8, 767, 0
1110, 10, 94293, 122, 398.9, 385.2, 635.6, 727.1, 747.7, 764, 0
1120, 10, 95167, 124, 391.4, 371.4, 497.4, 688.4, 743.8, 673, 0
1130, 10, 95017, 128, 385.4, 360.8, 496.4, 684.1, 743.4, 705, 0
1140, 10, 95540, 127, 380.7, 348.8, 493.2, 663.6, 741.4, 641, 0
1150, 10, 95749, 145, 381.1, 342.5, 497.1, 689.9, 744.0, 754, 0
1160, 10, 96297, 146, 374.3, 328.5, 616.2, 723.3, 747.4, 880, 0
1170, 10, 93406, 119, 406.1, 385.7, 649.6, 730.0, 748.1, 799, 0
1180, 10, 94458, 122, 395.5, 379.6, 599.0, 719.8, 747.0, 691, 0
1190, 10, 95379, 126, 388.7, 367.4, 493.4, 655.9, 740.6, 691, 0
1200, 10, 95820, 144, 382.3, 353.3, 495.3, 679.0, 743.0, 766, 0
1201, 1, 8480, 146, 380.5, 346.3, 495.7, 683.1, 744.0, 752, 0
