elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 51705, 160, 2114.9, 1775.9, 4744.2, 6929.2, 9774.6, 15358, 0
20, 10, 52204, 151, 2146.2, 1988.2, 4086.8, 5039.9, 9049.8, 12828, 0
30, 10, 52196, 161, 1943.6, 1735.0, 3987.7, 5474.9, 9850.5, 15295, 0
40, 10, 51890, 201, 1925.4, 1744.0, 3881.0, 5092.2, 8252.8, 11940, 0
50, 10, 51790, 188, 2198.7, 1918.6, 4845.0, 6236.7, 11287.8, 15245, 0
60, 10, 52020, 151, 2414.9, 2132.0, 4951.2, 5726.6, 10747.5, 14293, 0
70, 10, 51739, 172, 2054.4, 1850.4, 4225.2, 5456.2, 10657.6, 14948, 0
80, 10, 52182, 140, 2051.3, 1866.3, 4241.9, 5231.6, 6877.9, 9196, 0
90, 10, 52233, 175, 2203.7, 2063.5, 4339.8, 5395.3, 6903.8, 8773, 0
100, 10, 51519, 132, 1926.9, 1667.0, 4261.4, 6067.9, 10452.5, 13949, 0
110, 10, 51737, 166, 2004.0, 1837.2, 4051.4, 5085.3, 6788.8, 9689, 0
120, 10, 51738, 155, 2002.3, 1714.9, 4522.9, 5445.7, 8281.6, 12890, 0
130, 10, 51573, 149, 1864.0, 1624.2, 4012.1, 5101.6, 8202.3, 12091, 0
140, 10, 51548, 164, 2226.4, 1944.0, 4696.3, 5764.8, 8104.8, 12991, 0
150, 10, 51654, 180, 2103.7, 1754.7, 4768.2, 6402.5, 9517.3, 13620, 0
160, 10, 51754, 168, 1740.1, 1537.9, 3610.2, 4761.6, 8962.3, 15464, 0
170, 10, 51487, 145, 1770.7, 1562.5, 3675.8, 5084.6, 8775.6, 13768, 0
180, 10, 52096, 156, 2174.4, 1975.2, 4618.8, 6145.7, 7155.8, 8200, 0
190, 10, 52586, 170, 2192.0, 2005.6, 4391.5, 5459.9, 8426.7, 14798, 0
200, 10, 52170, 186, 2103.0, 1963.4, 4030.4, 4980.3, 7314.3, 13383, 0
210, 10, 51882, 163, 2262.8, 2121.4, 4389.7, 5409.6, 7886.9, 11902, 0
220, 10, 51951, 166, 2019.6, 1834.3, 4078.3, 5152.1, 8102.4, 12812, 0
230, 10, 51902, 167, 1836.2, 1692.2, 3632.9, 4804.0, 10174.8, 14105, 0
240, 10, 52151, 173, 2665.4, 2352.4, 5841.0, 7221.0, 10392.5, 14502, 0
250, 10, 52122, 156, 2036.0, 1900.5, 3980.1, 5137.0, 7646.9, 13080, 0
260, 10, 51550, 167, 1787.1, 1509.0, 4097.1, 5752.0, 9431.2, 13151, 0
270, 10, 52017, 166, 2395.1, 2061.7, 5533.2, 6825.2, 8666.2, 14256, 0
280, 10, 51594, 167, 1853.4, 1685.9, 3700.7, 4831.3, 7075.2, 14719, 0
290, 10, 52007, 166, 1825.9, 1593.3, 3937.0, 5474.2, 9204.4, 13744, 0
300, 10, 52023, 170, 2008.5, 1800.0, 4244.2, 5536.5, 8348.8, 16162, 0
310, 10, 51904, 146, 2037.8, 1868.7, 4041.8, 5319.9, 9006.0, 13326, 0
320, 10, 52421, 171, 2278.7, 2116.7, 4445.1, 5359.2, 8628.9, 13433, 0
330, 10, 52139, 160, 2335.3, 2139.8, 4481.0, 6374.3, 9968.4, 13990, 0
340, 10, 52086, 177, 2059.0, 1864.0, 4224.9, 5452.2, 10059.8, 14738, 0
350, 10, 51747, 150, 2097.1, 1906.3, 4191.0, 5917.0, 9762.6, 15723, 0
360, 10, 51525, 152, 2255.9, 1958.9, 4919.5, 6464.1, 10280.7, 13653, 0
370, 10, 51941, 158, 1860.7, 1521.7, 4346.1, 5417.0, 8536.8, 11375, 0
380, 10, 51878, 141, 1972.0, 1764.7, 3998.9, 5092.4, 8531.2, 11600, 0
