elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 71949, 114, 16436.5, 10515.9, 49041.9, 120844.4, 220128.2, 297838, 0
20, 10, 121113, 147, 18361.6, 13624.8, 51262.1, 75095.4, 149573.9, 175362, 0
30, 10, 123568, 163, 13252.1, 10221.6, 36045.2, 63217.1, 80694.0, 117791, 0
41, 10, 118429, 164, 16677.1, 11610.6, 51937.0, 81401.1, 138924.1, 307894, 0
51, 10, 128548, 158, 15254.4, 11498.1, 42443.1, 73675.3, 91717.8, 113749, 0
61, 10, 126911, 175, 17187.5, 11518.6, 56229.8, 89660.4, 149886.1, 247643, 0
71, 10, 133126, 148, 15562.8, 11451.3, 44716.7, 71098.7, 98369.8, 113121, 0
82, 10, 133709, 173, 13380.4, 9815.9, 37642.3, 65969.3, 114393.2, 130804, 0
92, 10, 173096, 162, 2915.2, 1881.3, 7146.5, 21707.6, 53325.3, 84709, 0
102, 10, 179757, 152, 2253.6, 1831.5, 5560.4, 7774.2, 10708.9, 13604, 0
113, 10, 178762, 157, 2315.8, 1870.7, 5848.4, 8025.0, 10021.6, 14836, 0
123, 10, 177067, 142, 2131.0, 1758.7, 5177.3, 7087.8, 10190.7, 13662, 0
133, 10, 177960, 152, 2372.9, 1906.4, 5948.0, 8351.6, 11571.6, 13855, 0
143, 10, 179009, 165, 2431.2, 1990.4, 5970.1, 8130.9, 10326.9, 12512, 0
154, 10, 178507, 148, 2237.0, 1814.1, 5637.8, 8019.2, 10072.9, 15201, 0
164, 10, 178866, 155, 2399.4, 1900.9, 6195.4, 8624.3, 11229.4, 13507, 0
174, 10, 177816, 150, 2308.1, 1848.4, 5958.7, 8370.9, 10056.3, 14653, 0
184, 10, 178474, 151, 2171.1, 1762.3, 5404.9, 7728.0, 11236.4, 16735, 0
195, 10, 179003, 189, 2232.8, 1874.5, 5312.3, 7316.1, 9537.2, 11281, 0
205, 10, 179837, 180, 2261.9, 1864.2, 5522.5, 7552.8, 10046.5, 14048, 0
215, 10, 178122, 153, 2376.1, 1914.0, 5977.0, 8015.1, 10645.2, 13615, 0
225, 10, 178524, 154, 2291.1, 1846.7, 5886.9, 8062.2, 9776.5, 11622, 0
236, 10, 177935, 156, 2203.1, 1774.6, 5463.8, 8201.9, 12500.9, 17912, 0
246, 10, 178051, 143, 2392.7, 1880.4, 6191.4, 8489.7, 11438.8, 13345, 0
256, 10, 177816, 176, 2439.1, 1958.6, 6125.1, 8441.8, 11110.9, 14197, 0
266, 10, 177429, 158, 2204.4, 1792.8, 5526.0, 7557.1, 9634.7, 12377, 0
277, 10, 177791, 156, 2405.6, 1926.7, 6101.9, 8559.4, 10990.1, 17527, 0
287, 10, 178293, 143, 2267.4, 1842.1, 5694.4, 7689.7, 9666.9, 12000, 0
297, 10, 177643, 121, 2181.0, 1773.6, 5404.8, 7599.1, 10330.0, 14443, 0
307, 10, 175950, 154, 2070.7, 1715.9, 5004.0, 7013.5, 9354.0, 14736, 0
318, 10, 178995, 149, 2378.9, 1957.1, 5736.7, 7975.8, 11138.0, 15698, 0
328, 10, 178798, 166, 2301.2, 1895.5, 5582.9, 8108.1, 10199.2, 12722, 0
338, 10, 177727, 158, 2274.6, 1850.3, 5655.5, 7773.4, 11113.6, 16794, 0
349, 10, 178523, 155, 2596.0, 1997.9, 6680.1, 9283.2, 13238.1, 18127, 0
359, 10, 177907, 159, 2336.0, 1876.8, 5925.6, 7942.3, 10354.7, 13534, 0
369, 10, 178424, 141, 2392.3, 1897.8, 6177.2, 8227.5, 9908.6, 12584, 0
379, 10, 177483, 145, 2212.0, 1805.5, 5504.2, 8044.1, 11132.3, 13952, 0
390, 10, 178357, 151, 2294.9, 1883.8, 5640.7, 7874.0, 10057.8, 12605, 0
400, 10, 178343, 171, 2407.4, 1957.2, 5876.0, 8063.6, 10570.1, 12730, 0
410, 10, 178299, 166, 2396.5, 1930.5, 6018.7, 8154.0, 10679.6, 13288, 0
420, 10, 178961, 146, 2338.6, 1887.1, 5775.7, 8893.2, 12810.9, 15076, 0
431, 10, 178039, 156, 2260.1, 1820.9, 5780.6, 7902.6, 10374.7, 14535, 0
441, 10, 177912, 164, 2167.4, 1782.7, 5337.5, 7320.4, 9261.6, 12622, 0
451, 10, 178188, 145, 2301.0, 1885.6, 5682.7, 7929.2, 10712.6, 13503, 0
461, 10, 178226, 165, 2367.8, 1903.2, 5947.6, 8662.7, 11828.6, 14589, 0
472, 10, 175558, 135, 2227.5, 1783.2, 5557.6, 7515.3, 9595.8, 12580, 0
482, 10, 177397, 150, 2239.2, 1797.1, 5659.2, 8063.8, 10457.5, 12772, 0
492, 10, 177979, 165, 2322.5, 1865.3, 5926.1, 7980.5, 9826.5, 11691, 0
502, 10, 176612, 156, 2156.1, 1757.8, 5392.5, 7735.3, 10065.5, 12815, 0
513, 10, 177598, 127, 2324.1, 1841.2, 5953.1, 8287.6, 10460.4, 12761, 0
523, 10, 178571, 183, 2282.9, 1868.7, 5627.4, 7720.9, 9809.8, 16123, 0
533, 10, 179271, 152, 2336.3, 1910.6, 5712.0, 8068.3, 11015.8, 13555, 0
543, 10, 177727, 147, 2350.7, 1877.2, 6005.0, 8215.5, 10599.5, 14694, 0
554, 10, 177470, 150, 2326.3, 1867.0, 5865.2, 7873.1, 10114.4, 12863, 0
564, 10, 177127, 152, 2231.9, 1798.0, 5527.0, 8096.4, 10840.6, 14586, 0
574, 10, 177293, 148, 2324.2, 1854.4, 5919.9, 8394.1, 11172.6, 15102, 0
584, 10, 177852, 176, 2375.4, 1923.3, 5917.4, 8097.4, 10277.9, 11655, 0
595, 10, 177570, 144, 2135.4, 1775.9, 5165.2, 7073.6, 9584.0, 14779, 0
605, 10, 178373, 162, 2259.3, 1879.9, 5514.6, 7413.1, 9661.5, 12097, 0
