elapsed, window, total, successful, failed
10, 10, 159850, 159850, 0
20, 10, 271390, 271390, 0
30, 10, 276810, 276810, 0
41, 10, 266916, 266916, 0
51, 10, 290448, 290448, 0
61, 10, 287491, 287491, 0
71, 10, 299496, 299496, 0
82, 10, 302097, 302097, 0
92, 10, 389215, 389215, 0
102, 10, 404373, 404373, 0
113, 10, 401315, 401315, 0
123, 10, 399123, 399123, 0
133, 10, 399939, 399939, 0
143, 10, 402605, 402605, 0
154, 10, 401215, 401215, 0
164, 10, 402752, 402752, 0
174, 10, 400054, 400054, 0
184, 10, 401974, 401974, 0
195, 10, 402701, 402701, 0
205, 10, 404297, 404297, 0
215, 10, 400751, 400751, 0
225, 10, 400356, 400356, 0
236, 10, 400488, 400488, 0
246, 10, 401225, 401225, 0
256, 10, 400999, 400999, 0
266, 10, 399598, 399598, 0
277, 10, 400529, 400529, 0
287, 10, 399429, 399429, 0
297, 10, 399381, 399381, 0
307, 10, 396854, 396854, 0
318, 10, 404054, 404054, 0
328, 10, 403505, 403505, 0
338, 10, 399918, 399918, 0
349, 10, 400182, 400182, 0
359, 10, 400308, 400308, 0
369, 10, 401650, 401650, 0
379, 10, 399346, 399346, 0
390, 10, 401234, 401234, 0
400, 10, 401410, 401410, 0
410, 10, 400845, 400845, 0
420, 10, 402684, 402684, 0
431, 10, 401416, 401416, 0
441, 10, 400070, 400070, 0
451, 10, 401374, 401374, 0
461, 10, 400638, 400638, 0
472, 10, 394988, 394988, 0
482, 10, 398852, 398852, 0
492, 10, 400128, 400128, 0
502, 10, 397956, 397956, 0
513, 10, 399489, 399489, 0
523, 10, 401281, 401281, 0
533, 10, 403209, 403209, 0
543, 10, 399947, 399947, 0
554, 10, 398889, 398889, 0
564, 10, 398772, 398772, 0
574, 10, 398773, 398773, 0
584, 10, 400800, 400800, 0
595, 10, 399323, 399323, 0
605, 10, 400815, 400815, 0
615, 10, 401846, 401846, 0
625, 10, 400019, 400019, 0
636, 10, 398393, 398393, 0
646, 10, 399906, 399906, 0
656, 10, 400392, 400392, 0
666, 10, 402412, 402412, 0
677, 10, 399889, 399889, 0
687, 10, 400617, 400617, 0
697, 10, 401344, 401344, 0
707, 10, 402106, 402106, 0
718, 10, 400802, 400802, 0
728, 10, 401868, 401868, 0
738, 10, 399265, 399265, 0
749, 10, 400234, 400234, 0
759, 10, 399353, 399353, 0
769, 10, 401205, 401205, 0
779, 10, 401531, 401531, 0
790, 10, 399673, 399673, 0
800, 10, 398043, 398043, 0
810, 10, 398577, 398577, 0
820, 10, 399573, 399573, 0
831, 10, 398778, 398778, 0
841, 10, 401891, 401891, 0
851, 10, 402568, 402568, 0
861, 10, 400485, 400485, 0
872, 10, 400656, 400656, 0
882, 10, 399153, 399153, 0
892, 10, 399522, 399522, 0
902, 10, 400514, 400514, 0
913, 10, 401089, 401089, 0
923, 10, 401240, 401240, 0
933, 10, 399276, 399276, 0
943, 10, 400826, 400826, 0
954, 10, 399443, 399443, 0
964, 10, 399500, 399500, 0
974, 10, 399119, 399119, 0
984, 10, 402600, 402600, 0
995, 10, 399117, 399117, 0
1005, 10, 400370, 400370, 0
1015, 10, 400939, 400939, 0
1025, 10, 402373, 402373, 0
1036, 10, 402892, 402892, 0
1046, 10, 401626, 401626, 0
1056, 10, 399922, 399922, 0
1067, 10, 401120, 401120, 0
1077, 10, 401195, 401195, 0
1087, 10, 400559, 400559, 0
1097, 10, 402082, 402082, 0
1108, 10, 398870, 398870, 0
1118, 10, 402329, 402329, 0
1128, 10, 400406, 400406, 0
1138, 10, 400817, 400817, 0
1149, 10, 401310, 401310, 0
1159, 10, 399143, 399143, 0
1169, 10, 395186, 395186, 0
1179, 10, 401202, 401202, 0
1190, 10, 400903, 400903, 0
1200, 10, 400262, 400262, 0
1210, 10, 401028, 401028, 0
1220, 10, 400386, 400386, 0
1231, 10, 398402, 398402, 0
1241, 10, 402288, 402288, 0
1251, 10, 401938, 401938, 0
1261, 10, 401973, 401973, 0
1272, 10, 399393, 399393, 0
1282, 10, 399528, 399528, 0
1292, 10, 283884, 283884, 0
1302, 10, 269558, 269558, 0
1312, 10, 253164, 253164, 0
1316, 3, 105676, 105676, 0
