elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 6468, 377, 476579.9, 552944.4, 875822.2, 931096.7, 936730.5, 1031345, 0
20, 10, 22019, 20069, 868335.5, 895796.9, 1235984.2, 1467882.0, 1497995.3, 1617030, 0
30, 10, 20037, 182071, 1211652.9, 1169234.4, 1906148.2, 2269657.5, 2531163.6, 2836828, 0
40, 10, 23391, 289765, 1403527.8, 1361890.6, 2019681.3, 2595880.6, 2630230.5, 2635034, 0
50, 10, 23688, 651366, 1667317.8, 1659926.5, 2014691.7, 3147632.5, 3333692.7, 3341950, 0
60, 10, 22159, 820377, 1888578.4, 1908275.0, 2126573.2, 2257620.5, 2284986.8, 2298714, 0
70, 10, 22260, 1862915, 1998115.8, 1997639.5, 2036666.7, 2093175.0, 2130842.5, 2142803, 0
80, 10, 22268, 1859225, 2000909.5, 2008300.7, 2039366.7, 2090302.7, 2104433.0, 2129158, 0
90, 10, 22185, 1879149, 1998171.4, 2004430.3, 2028062.5, 2066907.5, 2105851.9, 2109426, 0
100, 10, 22196, 1726564, 1998579.3, 2003684.5, 2031708.7, 2060627.5, 2076737.8, 2077989, 0
110, 10, 22200, 1894431, 1999549.9, 2004454.9, 2028058.5, 2050350.0, 2076700.0, 2103165, 0
120, 10, 22165, 1898964, 2002112.3, 2007006.0, 2031133.5, 2072176.4, 2097208.7, 2102582, 0
130, 10, 22205, 1879498, 2000623.4, 2003327.5, 2032427.5, 2047868.8, 2102448.7, 2120027, 0
140, 10, 22079, 1916070, 2001326.0, 2006330.2, 2033490.5, 2049686.1, 2063980.2, 2075914, 0
150, 10, 22091, 1899779, 2001144.3, 2004629.5, 2034692.2, 2054443.1, 2081613.6, 2093050, 0
160, 10, 22273, 1895728, 1999235.2, 2004323.6, 2036134.2, 2051112.0, 2091840.9, 2112347, 0
170, 10, 22186, 1899603, 2000419.0, 2003145.3, 2033680.3, 2058690.4, 2090567.8, 2095701, 0
180, 10, 22211, 1913979, 2001564.6, 2004424.6, 2031180.6, 2057674.6, 2092197.3, 2097025, 0
190, 10, 22296, 1913173, 2001181.1, 2002467.9, 2037619.2, 2070834.0, 2082308.7, 2086856, 0
200, 10, 22306, 1899990, 1995600.6, 1999806.7, 2031883.8, 2046748.1, 2079211.8, 2091876, 0
210, 10, 22199, 1898405, 1996074.1, 1998703.4, 2031933.7, 2067334.2, 2084150.1, 2096997, 0
