elapsed, window, total, successful, failed
10, 10, 18225, 18225, 0
20, 10, 50926, 50926, 0
30, 10, 44609, 44609, 0
40, 10, 50906, 50906, 0
50, 10, 51728, 51728, 0
60, 10, 48607, 48607, 0
70, 10, 50000, 50000, 0
80, 10, 50000, 50000, 0
90, 10, 50000, 50000, 0
100, 10, 50000, 50000, 0
110, 10, 50000, 50000, 0
120, 10, 50000, 50000, 0
130, 10, 50000, 50000, 0
140, 10, 49763, 49763, 0
150, 10, 49615, 49615, 0
160, 10, 50000, 50000, 0
170, 10, 49999, 49999, 0
180, 10, 50000, 50000, 0
190, 10, 50121, 50121, 0
200, 10, 50001, 50001, 0
210, 10, 50000, 50000, 0
220, 10, 50030, 50030, 0
230, 10, 50196, 50196, 0
240, 10, 50252, 50252, 0
250, 10, 50023, 50023, 0
260, 10, 50000, 50000, 0
270, 10, 50000, 50000, 0
280, 10, 49840, 49840, 0
290, 10, 49884, 49884, 0
300, 10, 49654, 49654, 0
310, 10, 50000, 50000, 0
320, 10, 50116, 50116, 0
330, 10, 50283, 50283, 0
340, 10, 49740, 49740, 0
350, 10, 50474, 50474, 0
360, 10, 50009, 50009, 0
370, 10, 50000, 50000, 0
380, 10, 50000, 50000, 0
390, 10, 50000, 50000, 0
400, 10, 50000, 50000, 0
410, 10, 50000, 50000, 0
420, 10, 50000, 50000, 0
430, 10, 50000, 50000, 0
440, 10, 50000, 50000, 0
450, 10, 50000, 50000, 0
460, 10, 50000, 50000, 0
470, 10, 50000, 50000, 0
480, 10, 50000, 50000, 0
490, 10, 50000, 50000, 0
500, 10, 50000, 50000, 0
510, 10, 49983, 49983, 0
520, 10, 49687, 49687, 0
530, 10, 49708, 49708, 0
540, 10, 49999, 49999, 0
550, 10, 50000, 50000, 0
560, 10, 50124, 50124, 0
570, 10, 50007, 50007, 0
580, 10, 49992, 49992, 0
590, 10, 49999, 49999, 0
600, 10, 50000, 50000, 0
610, 10, 50000, 50000, 0
620, 10, 50241, 50241, 0
630, 10, 49776, 49776, 0
640, 10, 50278, 50278, 0
650, 10, 49958, 49958, 0
660, 10, 49728, 49728, 0
670, 10, 49897, 49897, 0
680, 10, 50000, 50000, 0
690, 10, 50000, 50000, 0
700, 10, 50000, 50000, 0
710, 10, 50000, 50000, 0
720, 10, 50000, 50000, 0
730, 10, 50000, 50000, 0
740, 10, 50001, 50001, 0
750, 10, 49999, 49999, 0
760, 10, 50000, 50000, 0
770, 10, 50000, 50000, 0
780, 10, 50000, 50000, 0
790, 10, 50000, 50000, 0
801, 10, 50001, 50001, 0
811, 10, 50002, 50002, 0
821, 10, 50115, 50115, 0
831, 10, 50015, 50015, 0
841, 10, 49867, 49867, 0
851, 10, 50000, 50000, 0
861, 10, 50000, 50000, 0
871, 10, 50000, 50000, 0
881, 10, 50000, 50000, 0
891, 10, 50000, 50000, 0
901, 10, 50000, 50000, 0
911, 10, 50000, 50000, 0
921, 10, 50000, 50000, 0
931, 10, 50000, 50000, 0
941, 10, 50000, 50000, 0
951, 10, 50001, 50001, 0
961, 10, 50000, 50000, 0
971, 10, 49999, 49999, 0
981, 10, 50000, 50000, 0
991, 10, 50000, 50000, 0
1001, 10, 50000, 50000, 0
1011, 10, 50000, 50000, 0
1021, 10, 50000, 50000, 0
1031, 10, 50000, 50000, 0
1041, 10, 50000, 50000, 0
1051, 10, 50000, 50000, 0
1061, 10, 50000, 50000, 0
1071, 10, 50000, 50000, 0
1081, 10, 50000, 50000, 0
1091, 10, 50000, 50000, 0
1101, 10, 50000, 50000, 0
1111, 10, 50000, 50000, 0
1121, 10, 50000, 50000, 0
1131, 10, 50000, 50000, 0
1141, 10, 50000, 50000, 0
1151, 10, 50000, 50000, 0
1161, 10, 50000, 50000, 0
1171, 10, 50000, 50000, 0
1181, 10, 50000, 50000, 0
1191, 10, 50000, 50000, 0
1201, 10, 50000, 50000, 0
1211, 10, 50000, 50000, 0
1221, 10, 50000, 50000, 0
1231, 10, 50000, 50000, 0
1241, 10, 50000, 50000, 0
1251, 10, 50000, 50000, 0
1261, 10, 50218, 50218, 0
1271, 10, 59920, 59920, 0
1281, 9, 72140, 72140, 0
