elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 17718, 150, 547.1, 385.6, 674.2, 6799.5, 7130.6, 7381, 0
20, 10, 17942, 151, 563.2, 382.2, 665.0, 6829.0, 7105.3, 7224, 0
30, 10, 17681, 149, 558.3, 382.6, 663.5, 6836.7, 7130.5, 7221, 0
40, 10, 18032, 154, 564.9, 383.3, 668.7, 6838.1, 7145.2, 7178, 0
50, 10, 17700, 153, 570.6, 383.0, 670.6, 6866.3, 7159.2, 7296, 0
60, 10, 17821, 153, 553.2, 382.4, 657.4, 6813.2, 7133.2, 7290, 0
70, 10, 17883, 170, 548.5, 382.2, 657.6, 6795.4, 7118.5, 7193, 0
80, 10, 17593, 157, 550.7, 382.6, 662.1, 6823.2, 7134.3, 7231, 0
90, 10, 17916, 148, 554.7, 383.0, 664.8, 6841.7, 7143.5, 7569, 0
100, 10, 17881, 148, 558.6, 382.7, 662.6, 6825.6, 7114.5, 7207, 0
110, 10, 17840, 159, 562.9, 383.2, 669.5, 6835.3, 7143.8, 7242, 0
120, 10, 17923, 155, 558.7, 382.6, 665.7, 6837.7, 7135.1, 7154, 0
130, 10, 17811, 153, 556.8, 382.6, 661.6, 6824.3, 7156.6, 7419, 0
140, 10, 18040, 160, 554.3, 381.8, 657.9, 6838.1, 7124.7, 7202, 0
150, 10, 18055, 155, 562.3, 383.2, 668.9, 6848.5, 7140.7, 7328, 0
160, 10, 17756, 158, 565.7, 383.0, 669.4, 6856.8, 7163.0, 7224, 0
170, 10, 17793, 154, 559.4, 382.7, 665.4, 6863.1, 7167.7, 7262, 0
180, 10, 17991, 148, 551.3, 383.0, 662.5, 6842.5, 7154.3, 7214, 0
190, 10, 17930, 155, 543.9, 382.6, 658.3, 6829.5, 7118.2, 7224, 0
200, 10, 18037, 153, 551.1, 383.0, 660.5, 6812.3, 7120.9, 7293, 0
210, 10, 17945, 153, 541.6, 382.0, 657.1, 6804.3, 7151.5, 7291, 0
220, 10, 17867, 152, 567.9, 383.1, 671.3, 6836.6, 7163.3, 7300, 0
230, 10, 18138, 153, 558.8, 383.5, 667.2, 6826.6, 7142.0, 7215, 0
240, 10, 17959, 153, 566.3, 383.4, 670.1, 6823.9, 7105.2, 7247, 0
250, 10, 17756, 152, 556.9, 383.0, 664.6, 6823.8, 7140.6, 7524, 0
260, 10, 17879, 148, 556.1, 382.7, 662.6, 6810.5, 7105.8, 7227, 0
270, 10, 17980, 155, 560.8, 382.4, 661.2, 6838.5, 7128.5, 7169, 0
280, 10, 17883, 161, 564.0, 382.2, 662.9, 6840.7, 7132.3, 7238, 0
290, 10, 17839, 151, 549.2, 382.0, 653.5, 6813.9, 7106.1, 7210, 0
300, 10, 17944, 157, 558.3, 383.4, 665.5, 6829.5, 7089.8, 7188, 0
310, 10, 17804, 155, 548.2, 382.1, 659.2, 6821.9, 7129.7, 7211, 0
320, 10, 17859, 151, 559.8, 382.9, 664.1, 6833.8, 7135.5, 7168, 0
330, 10, 17936, 154, 553.7, 382.8, 663.1, 6818.5, 7137.9, 7233, 0
340, 10, 17744, 154, 555.7, 383.3, 665.0, 6837.7, 7162.2, 7376, 0
350, 10, 17967, 159, 542.7, 382.1, 654.4, 6823.2, 7117.9, 7231, 0
360, 10, 17920, 153, 557.5, 383.3, 664.2, 6833.5, 7167.1, 7263, 0
370, 10, 17857, 150, 566.3, 382.6, 668.0, 6853.5, 7122.5, 7175, 0
380, 10, 17966, 151, 556.4, 382.7, 662.2, 6831.2, 7166.8, 7295, 0
390, 10, 17940, 148, 538.0, 382.0, 651.9, 6795.0, 7105.3, 7151, 0
400, 10, 17745, 149, 566.3, 383.3, 667.8, 6852.4, 7156.3, 7336, 0
410, 10, 18053, 152, 549.0, 382.8, 660.6, 6818.4, 7150.9, 7308, 0
420, 10, 17996, 151, 546.0, 383.3, 662.6, 6797.1, 7094.9, 7187, 0
430, 10, 17816, 149, 548.5, 382.7, 662.8, 6795.4, 7139.4, 7271, 0
440, 10, 17779, 162, 550.0, 382.4, 659.5, 6820.6, 7126.6, 7413, 0
450, 10, 17761, 156, 558.5, 383.5, 668.0, 6837.1, 7106.8, 7243, 0
460, 10, 17854, 158, 548.3, 382.3, 657.3, 6813.8, 7129.4, 7236, 0
470, 10, 17512, 154, 552.7, 383.2, 666.0, 6826.8, 7144.2, 7259, 0
480, 10, 17668, 157, 554.7, 382.4, 659.2, 6823.5, 7140.3, 7262, 0
490, 10, 18198, 153, 560.9, 383.2, 668.9, 6847.7, 7139.8, 7350, 0
500, 10, 18056, 152, 557.9, 382.3, 660.7, 6826.1, 7131.2, 7201, 0
510, 10, 17787, 148, 559.8, 382.5, 662.4, 6835.5, 7136.0, 7197, 0
520, 10, 17689, 155, 541.6, 381.9, 650.4, 6809.6, 7168.2, 7304, 0
530, 10, 17872, 155, 560.9, 383.0, 667.1, 6842.9, 7156.9, 7182, 0
540, 10, 17813, 153, 568.0, 383.0, 668.9, 6843.6, 7132.8, 7152, 0
550, 10, 17600, 154, 555.9, 383.2, 666.2, 6837.3, 7143.6, 7377, 0
560, 10, 17805, 154, 555.9, 383.0, 663.9, 6815.5, 7150.0, 7302, 0
570, 10, 18008, 153, 554.6, 383.4, 663.9, 6828.3, 7141.0, 7263, 0
580, 10, 17954, 161, 558.9, 382.0, 658.8, 6844.1, 7159.8, 7308, 0
590, 10, 17607, 158, 550.3, 382.6, 661.0, 6831.9, 7166.9, 7209, 0
600, 10, 17868, 152, 547.4, 382.3, 655.7, 6827.2, 7152.9, 7213, 0
610, 10, 17821, 155, 563.5, 381.8, 661.0, 6821.2, 7118.6, 7271, 0
620, 10, 17835, 151, 554.6, 382.0, 658.1, 6835.7, 7156.5, 7469, 0
630, 10, 17973, 158, 552.9, 382.5, 659.7, 6800.1, 7121.6, 7180, 0
640, 10, 17987, 147, 558.6, 382.9, 665.8, 6794.4, 7104.9, 7238, 0
650, 10, 17836, 157, 560.6, 383.5, 668.4, 6827.9, 7138.5, 7188, 0
660, 10, 18076, 152, 555.4, 383.0, 665.7, 6811.8, 7144.2, 7336, 0
670, 10, 18059, 157, 544.8, 382.7, 659.5, 6824.0, 7147.4, 7193, 0
680, 10, 17755, 160, 550.5, 381.9, 656.9, 6825.4, 7115.5, 7175, 0
690, 10, 17658, 148, 562.2, 383.5, 667.5, 6832.2, 7140.4, 7363, 0
700, 10, 17637, 148, 547.4, 383.0, 660.7, 6828.6, 7152.3, 7273, 0
