elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 71221, 149, 556.8, 385.6, 678.5, 6817.3, 7129.1, 7306, 0
20, 10, 71387, 151, 556.9, 382.3, 661.6, 6820.7, 7115.8, 7231, 0
30, 10, 71776, 151, 558.3, 382.1, 661.5, 6842.7, 7130.4, 7368, 0
40, 10, 71321, 151, 550.9, 382.6, 658.2, 6820.9, 7135.8, 7312, 0
50, 10, 71679, 152, 550.9, 382.4, 659.8, 6816.5, 7125.6, 7315, 0
60, 10, 71505, 150, 560.1, 382.8, 664.4, 6816.1, 7118.6, 7250, 0
70, 10, 71570, 151, 558.3, 382.4, 663.1, 6830.9, 7139.7, 7308, 0
80, 10, 71446, 149, 556.4, 382.4, 661.7, 6836.4, 7147.0, 7316, 0
90, 10, 71395, 154, 554.3, 382.9, 662.7, 6834.6, 7144.0, 7428, 0
100, 10, 71797, 147, 558.3, 382.9, 663.9, 6854.0, 7167.7, 7357, 0
110, 10, 71564, 153, 554.3, 382.7, 662.8, 6821.2, 7134.6, 7220, 0
120, 10, 71351, 154, 555.7, 382.6, 664.5, 6827.9, 7140.8, 7305, 0
130, 10, 71326, 148, 555.1, 382.8, 663.1, 6828.3, 7138.7, 7407, 0
140, 10, 71392, 152, 558.3, 382.7, 664.7, 6838.3, 7151.1, 7279, 0
150, 10, 71211, 150, 554.7, 382.6, 660.9, 6836.5, 7144.1, 7447, 0
160, 10, 71458, 149, 552.3, 382.0, 658.3, 6841.4, 7147.0, 7283, 0
170, 10, 71397, 153, 552.6, 382.2, 658.1, 6841.1, 7141.3, 7510, 0
180, 10, 71482, 152, 558.2, 383.0, 664.5, 6838.0, 7141.0, 7383, 0
190, 10, 71033, 151, 559.4, 382.6, 663.4, 6836.7, 7129.3, 7270, 0
200, 10, 71293, 149, 555.4, 382.5, 660.7, 6820.7, 7122.6, 7300, 0
210, 10, 71441, 153, 556.2, 383.0, 664.8, 6815.8, 7130.5, 7502, 0
220, 10, 71439, 149, 553.9, 382.3, 661.8, 6821.4, 7132.5, 7229, 0
230, 10, 71121, 152, 553.2, 382.8, 662.1, 6816.5, 7130.7, 7230, 0
240, 10, 71515, 151, 553.7, 382.7, 664.2, 6823.3, 7149.8, 7300, 0
250, 10, 71850, 150, 555.4, 382.8, 662.2, 6833.1, 7143.3, 7391, 0
260, 10, 71596, 149, 554.8, 383.1, 663.1, 6817.6, 7120.2, 7317, 0
270, 10, 71203, 149, 553.9, 382.4, 660.9, 6825.9, 7107.6, 7208, 0
280, 10, 71405, 150, 551.7, 382.4, 659.3, 6838.9, 7138.8, 7331, 0
290, 10, 71257, 153, 554.2, 382.9, 662.8, 6821.3, 7123.6, 7348, 0
300, 10, 71712, 150, 554.9, 383.2, 663.4, 6828.7, 7110.8, 7310, 0
310, 10, 71018, 147, 557.7, 382.6, 663.8, 6826.2, 7131.0, 7318, 0
320, 10, 71389, 150, 560.0, 382.7, 664.6, 6834.0, 7135.3, 7274, 0
330, 10, 71644, 154, 555.7, 383.1, 663.8, 6817.6, 7124.7, 7373, 0
340, 10, 71927, 151, 554.8, 382.6, 661.7, 6841.5, 7141.2, 7583, 0
350, 10, 71142, 139, 558.8, 382.6, 664.9, 6846.3, 7134.8, 7292, 0
360, 10, 71853, 150, 550.6, 383.0, 660.4, 6824.2, 7133.5, 7423, 0
370, 10, 71478, 151, 550.5, 382.1, 661.0, 6818.7, 7117.5, 7313, 0
380, 10, 71702, 149, 560.5, 382.6, 664.5, 6836.9, 7147.2, 7443, 0
390, 10, 71351, 153, 553.7, 382.5, 662.4, 6820.3, 7114.0, 7319, 0
400, 10, 71598, 150, 555.7, 383.1, 664.5, 6826.2, 7132.9, 7390, 0
410, 10, 71482, 151, 559.7, 382.9, 665.0, 6846.1, 7140.3, 7285, 0
420, 10, 71648, 147, 554.5, 383.2, 661.8, 6812.6, 7122.9, 7253, 0
430, 10, 71550, 155, 556.8, 383.0, 665.4, 6820.4, 7130.0, 7374, 0
440, 10, 71696, 151, 554.7, 382.9, 662.8, 6828.2, 7142.2, 7266, 0
450, 10, 71955, 149, 558.8, 382.9, 664.9, 6830.7, 7119.6, 7354, 0
460, 10, 71292, 148, 555.7, 382.9, 663.4, 6820.8, 7129.6, 7247, 0
470, 10, 71621, 152, 560.5, 382.7, 666.7, 6833.9, 7123.0, 7250, 0
480, 10, 71725, 151, 559.8, 382.7, 664.3, 6845.2, 7151.0, 7275, 0
490, 10, 71191, 145, 550.7, 382.4, 658.9, 6809.9, 7126.5, 7398, 0
500, 10, 71279, 146, 552.4, 382.4, 661.1, 6818.3, 7140.9, 7379, 0
510, 10, 71876, 149, 556.2, 382.5, 661.2, 6828.3, 7140.6, 7281, 0
520, 10, 71660, 148, 557.4, 383.0, 664.7, 6838.3, 7132.3, 7300, 0
530, 10, 71151, 148, 551.2, 382.5, 659.3, 6820.5, 7125.6, 7209, 0
540, 10, 71247, 149, 554.9, 382.6, 661.5, 6826.3, 7133.6, 7222, 0
550, 10, 71654, 151, 555.9, 382.7, 663.3, 6837.4, 7148.8, 7364, 0
560, 10, 71563, 147, 550.5, 382.9, 661.2, 6819.2, 7106.6, 7363, 0
570, 10, 71123, 151, 561.6, 383.3, 667.2, 6831.7, 7143.3, 7297, 0
580, 10, 71468, 148, 556.2, 382.6, 663.7, 6827.1, 7140.6, 7261, 0
590, 10, 71725, 150, 555.9, 382.8, 663.9, 6837.4, 7139.5, 7257, 0
600, 10, 71319, 148, 554.3, 382.9, 662.2, 6831.2, 7148.0, 7474, 0
610, 10, 71439, 151, 557.7, 382.4, 662.9, 6828.8, 7141.7, 7397, 0
620, 10, 71647, 148, 558.7, 382.2, 660.0, 6833.5, 7145.1, 7432, 0
630, 10, 71602, 149, 555.2, 382.4, 660.6, 6818.4, 7111.2, 7221, 0
640, 10, 71611, 150, 555.1, 382.5, 662.4, 6826.4, 7123.9, 7198, 0
650, 10, 71886, 152, 552.3, 383.0, 662.1, 6832.1, 7149.9, 7356, 0
660, 10, 71393, 150, 556.5, 382.7, 664.0, 6827.6, 7148.5, 7496, 0
670, 10, 71151, 147, 555.5, 382.6, 661.4, 6832.4, 7152.0, 7266, 0
680, 10, 71658, 146, 559.2, 383.0, 666.5, 6831.1, 7124.7, 7245, 0
690, 10, 71836, 148, 552.3, 382.6, 662.2, 6824.6, 7126.1, 7225, 0
700, 10, 71993, 153, 554.4, 382.9, 663.3, 6831.4, 7142.6, 7348, 0
710, 10, 71309, 149, 556.0, 382.5, 662.9, 6835.8, 7137.5, 7405, 0
720, 10, 71220, 148, 554.7, 382.0, 659.4, 6821.5, 7121.9, 7244, 0
730, 10, 71361, 151, 557.3, 382.8, 665.6, 6819.4, 7130.3, 7291, 0
740, 10, 71077, 148, 554.0, 382.7, 663.0, 6828.3, 7126.6, 7320, 0
750, 10, 71427, 152, 561.0, 382.3, 664.3, 6842.5, 7156.2, 7347, 0
760, 10, 71181, 150, 554.9, 382.7, 663.7, 6832.7, 7124.7, 7275, 0
770, 10, 71548, 149, 553.8, 382.5, 662.9, 6817.4, 7137.1, 7260, 0
780, 10, 71517, 150, 555.6, 382.9, 663.9, 6830.9, 7133.1, 7209, 0
790, 10, 71410, 152, 556.2, 382.7, 664.1, 6841.0, 7138.6, 7370, 0
800, 10, 71308, 151, 553.4, 382.7, 662.2, 6834.1, 7132.8, 7257, 0
810, 10, 71253, 155, 554.4, 382.4, 661.8, 6829.1, 7135.5, 7319, 0
820, 10, 71521, 146, 562.3, 383.1, 665.7, 6841.8, 7131.8, 7322, 0
830, 10, 71190, 146, 551.0, 382.7, 661.2, 6804.7, 7129.1, 7361, 0
840, 10, 71594, 151, 559.8, 383.1, 664.8, 6847.3, 7147.4, 7293, 0
850, 10, 71621, 148, 555.3, 382.6, 662.6, 6845.5, 7137.5, 7265, 0
860, 10, 71579, 155, 555.9, 383.2, 664.7, 6844.9, 7138.9, 7241, 0
870, 10, 71342, 151, 558.0, 382.9, 665.8, 6827.1, 7113.5, 7370, 0
880, 10, 71269, 146, 558.3, 382.8, 664.4, 6834.8, 7145.0, 7354, 0
890, 10, 71470, 145, 556.0, 382.5, 663.2, 6820.5, 7102.3, 7222, 0
900, 10, 71278, 150, 554.7, 382.7, 662.7, 6812.2, 7114.7, 7310, 0
910, 10, 71841, 146, 555.8, 382.7, 662.0, 6819.1, 7118.8, 7305, 0
920, 10, 71447, 150, 559.3, 383.0, 666.2, 6827.0, 7135.8, 7506, 0
930, 10, 71398, 149, 554.9, 383.1, 663.3, 6825.9, 7135.0, 7251, 0
940, 10, 71646, 151, 556.8, 382.4, 662.9, 6823.6, 7124.7, 7325, 0
950, 10, 71581, 146, 554.5, 382.5, 661.8, 6830.2, 7132.3, 7213, 0
960, 10, 71584, 148, 557.2, 382.9, 664.8, 6837.1, 7148.3, 7266, 0
970, 10, 71454, 153, 556.4, 383.0, 663.8, 6842.0, 7145.0, 7436, 0
980, 10, 71422, 150, 556.2, 382.9, 663.3, 6831.5, 7148.7, 7512, 0
990, 10, 71201, 149, 549.4, 382.3, 658.9, 6827.1, 7115.0, 7408, 0
1000, 10, 71190, 146, 558.1, 382.6, 662.7, 6833.4, 7149.7, 7379, 0
1010, 10, 71596, 149, 559.3, 382.8, 665.8, 6836.3, 7130.7, 7275, 0
1020, 10, 71747, 149, 555.2, 382.5, 663.7, 6821.4, 7122.7, 7337, 0
1030, 10, 71123, 152, 555.2, 383.1, 663.8, 6808.4, 7108.6, 7432, 0
1040, 10, 71485, 151, 553.4, 382.4, 660.7, 6819.7, 7120.3, 7300, 0
1050, 10, 71650, 153, 551.9, 382.7, 660.2, 6815.5, 7102.0, 7240, 0
1060, 10, 71319, 147, 552.5, 382.2, 659.5, 6819.9, 7122.6, 7270, 0
1070, 10, 71488, 148, 554.4, 382.5, 662.0, 6805.1, 7101.1, 7214, 0
1080, 10, 71310, 149, 557.4, 383.1, 665.4, 6803.9, 7114.3, 7515, 0
1090, 10, 71287, 153, 554.7, 382.6, 663.2, 6808.6, 7117.0, 7246, 0
1100, 10, 71519, 149, 558.5, 383.2, 666.8, 6819.9, 7120.3, 7253, 0
1110, 10, 71194, 148, 553.3, 382.4, 662.4, 6806.7, 7108.5, 7339, 0
1120, 10, 71442, 149, 557.0, 382.6, 663.3, 6818.8, 7130.3, 7295, 0
1130, 10, 71816, 151, 558.2, 383.5, 667.0, 6826.7, 7113.8, 7464, 0
1140, 10, 71785, 149, 557.2, 383.0, 665.7, 6821.7, 7131.2, 7240, 0
1150, 10, 71630, 143, 556.1, 383.4, 665.4, 6825.1, 7137.4, 7372, 0
1160, 10, 71730, 151, 554.6, 382.4, 659.5, 6815.7, 7120.1, 7206, 0
1170, 10, 71566, 145, 556.2, 383.0, 664.9, 6816.4, 7111.1, 7437, 0
1180, 10, 71642, 146, 556.3, 382.6, 663.3, 6826.5, 7139.5, 7316, 0
1190, 10, 71231, 147, 553.1, 382.2, 660.5, 6835.8, 7131.3, 7226, 0
1200, 10, 71542, 151, 550.8, 382.7, 660.2, 6820.5, 7135.3, 7230, 0
1201, 1, 6218, 157, 563.7, 384.2, 672.4, 6859.0, 7184.8, 7256, 0
