elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 43403, 389, 932.6, 912.4, 1324.8, 1499.0, 1775.0, 5066, 0
20, 10, 43288, 393, 913.4, 897.5, 1264.7, 1492.5, 1764.3, 5273, 0
30, 10, 43889, 395, 896.5, 886.8, 1233.9, 1464.0, 1724.6, 4801, 0
40, 10, 43607, 386, 912.1, 896.9, 1260.7, 1491.8, 1814.7, 5025, 0
50, 10, 43467, 391, 911.7, 896.9, 1263.9, 1491.9, 1745.2, 4895, 0
60, 10, 43572, 387, 900.3, 889.5, 1239.5, 1474.1, 1735.1, 5106, 0
70, 10, 43395, 396, 903.3, 891.4, 1243.1, 1479.0, 1748.6, 5025, 0
80, 10, 43760, 391, 900.5, 889.5, 1238.8, 1474.0, 1733.2, 4407, 0
90, 10, 43700, 401, 906.5, 893.6, 1244.9, 1482.7, 1744.9, 5010, 0
100, 10, 43448, 404, 913.1, 897.8, 1262.3, 1493.9, 1760.2, 5012, 0
110, 10, 44174, 382, 893.1, 885.2, 1231.9, 1461.5, 1713.2, 2077, 0
120, 10, 42912, 396, 917.7, 900.3, 1290.6, 1495.9, 1770.9, 4954, 0
130, 10, 43737, 391, 907.4, 893.4, 1246.9, 1483.1, 1740.6, 5280, 0
140, 10, 43361, 399, 914.7, 898.7, 1273.9, 1495.2, 1783.6, 4958, 0
150, 10, 43402, 408, 918.1, 900.5, 1287.1, 1496.0, 1747.6, 5321, 0
160, 10, 43448, 394, 915.6, 899.1, 1283.2, 1494.1, 1744.0, 4656, 0
170, 10, 43607, 394, 906.6, 892.9, 1245.8, 1481.9, 1776.5, 5608, 0
180, 10, 43585, 388, 910.2, 895.9, 1247.9, 1487.5, 1743.9, 5027, 0
190, 10, 43279, 400, 911.4, 895.9, 1265.7, 1489.8, 1742.8, 4907, 0
200, 10, 43233, 397, 917.3, 900.2, 1291.6, 1497.7, 1810.2, 4527, 0
210, 10, 43764, 398, 905.7, 892.6, 1245.1, 1479.9, 1742.6, 4897, 0
220, 10, 43462, 388, 905.7, 892.4, 1247.5, 1485.0, 1747.9, 4964, 0
230, 10, 44502, 384, 876.0, 876.0, 1201.7, 1395.8, 1625.0, 4707, 0
240, 10, 44932, 393, 873.2, 874.8, 1197.1, 1378.5, 1499.4, 4867, 0
250, 10, 43841, 406, 902.2, 890.1, 1244.8, 1484.7, 1741.0, 4826, 0
260, 10, 43563, 396, 909.6, 895.4, 1259.8, 1487.8, 1735.4, 2140, 0
270, 10, 44344, 390, 893.4, 885.3, 1230.6, 1458.4, 1718.0, 4472, 0
280, 10, 43264, 402, 914.0, 897.5, 1278.9, 1495.9, 1749.8, 4797, 0
290, 10, 43541, 386, 913.3, 897.8, 1272.2, 1493.0, 1745.2, 4367, 0
300, 10, 43168, 384, 912.7, 896.9, 1263.1, 1488.4, 1743.4, 5194, 0
310, 10, 43778, 401, 904.6, 892.0, 1245.6, 1477.5, 1732.4, 5066, 0
320, 10, 43510, 393, 915.9, 899.3, 1285.0, 1492.8, 1740.2, 4576, 0
330, 10, 43415, 396, 911.0, 896.1, 1263.5, 1491.5, 1740.8, 2315, 0
340, 10, 43510, 386, 912.7, 897.6, 1271.9, 1492.0, 1748.1, 4467, 0
350, 10, 43044, 393, 917.6, 900.6, 1281.3, 1494.5, 1747.8, 5080, 0
360, 10, 43127, 397, 917.7, 900.8, 1295.8, 1499.7, 1739.4, 4617, 0
370, 10, 43201, 387, 915.4, 898.6, 1281.3, 1493.7, 1767.9, 5222, 0
380, 10, 43638, 395, 911.5, 897.0, 1258.4, 1486.2, 1742.7, 4764, 0
390, 10, 43864, 404, 905.1, 892.3, 1244.7, 1479.3, 1732.7, 4922, 0
400, 10, 44032, 395, 891.8, 885.3, 1226.8, 1446.5, 1710.1, 5498, 0
410, 10, 43656, 395, 919.5, 901.8, 1288.3, 1495.5, 1749.5, 4863, 0
420, 10, 43204, 389, 919.8, 900.7, 1289.5, 1496.8, 1792.8, 5103, 0
430, 10, 43004, 404, 913.1, 897.7, 1256.2, 1489.0, 1743.6, 4689, 0
440, 10, 43338, 389, 910.2, 895.4, 1263.8, 1486.7, 1742.9, 5060, 0
450, 10, 43304, 397, 911.8, 897.0, 1263.5, 1493.2, 1748.3, 4919, 0
460, 10, 44120, 398, 898.9, 889.5, 1235.7, 1465.8, 1717.1, 4844, 0
470, 10, 43746, 402, 906.6, 893.3, 1249.4, 1488.5, 1743.9, 4727, 0
480, 10, 44190, 394, 895.7, 887.0, 1232.6, 1460.9, 1726.2, 5290, 0
490, 10, 43760, 407, 892.5, 885.4, 1229.5, 1456.1, 1731.1, 5035, 0
500, 10, 43492, 399, 915.1, 898.8, 1279.4, 1492.1, 1744.4, 4785, 0
510, 10, 43511, 394, 914.7, 897.1, 1281.9, 1494.7, 1744.0, 5122, 0
520, 10, 43542, 407, 913.1, 897.6, 1256.0, 1490.3, 1747.3, 4922, 0
530, 10, 43578, 399, 911.7, 896.5, 1260.8, 1489.4, 1798.8, 5061, 0
540, 10, 44367, 403, 884.0, 880.1, 1215.9, 1429.3, 1685.0, 4597, 0
550, 10, 43194, 390, 912.9, 897.8, 1266.4, 1494.5, 1749.1, 2127, 0
560, 10, 43575, 396, 911.1, 896.3, 1261.7, 1484.3, 1738.0, 4669, 0
570, 10, 43155, 394, 912.5, 896.7, 1271.2, 1496.7, 1741.3, 2037, 0
580, 10, 43409, 393, 915.2, 898.7, 1276.6, 1493.6, 1736.5, 2083, 0
590, 10, 43479, 399, 906.2, 893.1, 1244.5, 1480.7, 1730.2, 1928, 0
600, 10, 43549, 412, 909.8, 895.6, 1249.5, 1485.8, 1742.0, 5009, 0
610, 10, 43552, 392, 912.0, 897.6, 1262.0, 1491.0, 1742.1, 4818, 0
620, 10, 43526, 394, 913.9, 897.9, 1270.8, 1494.2, 1745.4, 5258, 0
630, 10, 43580, 397, 908.4, 894.0, 1249.9, 1486.8, 1741.4, 5273, 0
640, 10, 43686, 396, 913.1, 897.1, 1263.7, 1494.0, 1749.5, 4776, 0
650, 10, 43426, 393, 911.9, 896.7, 1266.0, 1491.2, 1747.4, 4485, 0
660, 10, 43796, 386, 900.8, 890.4, 1240.7, 1473.9, 1727.9, 4739, 0
670, 10, 43618, 393, 908.3, 894.2, 1249.7, 1486.4, 1745.3, 5174, 0
680, 10, 44020, 396, 904.0, 891.8, 1243.1, 1476.0, 1738.8, 5174, 0
690, 10, 43880, 406, 892.5, 885.1, 1227.8, 1454.2, 1721.1, 5349, 0
700, 10, 43786, 395, 903.8, 891.6, 1242.2, 1474.8, 1729.0, 5043, 0
710, 10, 43927, 397, 905.4, 892.9, 1246.1, 1477.4, 1739.8, 4817, 0
720, 10, 43164, 398, 916.7, 899.7, 1288.6, 1498.7, 1746.6, 3052, 0
730, 10, 43435, 376, 907.1, 893.7, 1249.5, 1479.5, 1735.7, 5041, 0
740, 10, 43283, 404, 913.2, 897.3, 1269.9, 1491.1, 1741.5, 4883, 0
750, 10, 43362, 404, 916.7, 899.7, 1276.6, 1496.0, 1747.0, 5032, 0
760, 10, 43597, 377, 916.7, 899.3, 1284.1, 1494.9, 1761.7, 5259, 0
770, 10, 43732, 390, 908.5, 894.1, 1255.9, 1492.9, 1743.8, 4926, 0
780, 10, 43792, 398, 898.4, 888.7, 1237.0, 1471.4, 1734.3, 4619, 0
790, 10, 43731, 405, 908.2, 893.5, 1248.0, 1488.6, 1794.8, 4989, 0
800, 10, 43546, 403, 903.8, 890.0, 1239.7, 1477.1, 1747.5, 12935, 0
810, 10, 43699, 397, 904.1, 891.9, 1244.3, 1480.9, 1741.2, 4886, 0
820, 10, 43753, 395, 901.4, 890.0, 1240.8, 1474.1, 1734.7, 5006, 0
830, 10, 43529, 401, 906.1, 893.2, 1244.8, 1482.4, 1745.9, 4477, 0
840, 10, 43251, 401, 919.8, 902.0, 1299.9, 1496.9, 1744.4, 5136, 0
850, 10, 43177, 395, 914.8, 898.6, 1280.9, 1495.2, 1774.5, 4825, 0
860, 10, 43479, 389, 909.8, 894.9, 1265.1, 1492.1, 1744.5, 4901, 0
870, 10, 43655, 393, 912.4, 896.4, 1268.2, 1491.1, 1752.5, 4786, 0
880, 10, 43492, 392, 911.1, 895.6, 1256.2, 1494.4, 1780.5, 5407, 0
890, 10, 43512, 397, 905.7, 892.4, 1249.0, 1483.9, 1741.6, 4964, 0
900, 10, 43313, 392, 912.3, 897.0, 1266.3, 1492.0, 1741.0, 5407, 0
910, 10, 43856, 403, 893.2, 885.6, 1231.0, 1458.2, 1720.9, 4938, 0
920, 10, 43621, 382, 908.2, 894.3, 1247.1, 1482.4, 1752.5, 4573, 0
930, 10, 43662, 395, 914.4, 898.7, 1274.7, 1490.2, 1741.0, 1942, 0
940, 10, 43277, 403, 921.9, 903.4, 1292.0, 1496.4, 1807.9, 4866, 0
950, 10, 43185, 404, 917.7, 900.5, 1290.9, 1495.2, 1745.6, 5159, 0
960, 10, 43326, 397, 909.3, 895.3, 1249.3, 1484.1, 1748.8, 5037, 0
970, 10, 43850, 392, 900.9, 889.3, 1239.6, 1474.8, 1789.9, 5182, 0
980, 10, 43977, 403, 902.4, 890.5, 1243.1, 1477.9, 1733.9, 4518, 0
990, 10, 43491, 401, 900.4, 889.6, 1238.9, 1470.0, 1729.1, 4969, 0
1000, 10, 43836, 394, 906.7, 893.1, 1247.6, 1484.9, 1751.4, 5147, 0
1010, 10, 44028, 396, 901.6, 890.2, 1242.4, 1475.2, 1728.1, 2079, 0
1020, 10, 43960, 400, 900.0, 889.1, 1241.4, 1472.1, 1732.3, 4716, 0
1030, 10, 43652, 400, 902.7, 891.3, 1241.4, 1474.5, 1732.0, 4863, 0
1040, 10, 43920, 398, 895.8, 886.0, 1234.3, 1466.1, 1732.3, 5220, 0
1050, 10, 43262, 400, 909.6, 895.1, 1257.1, 1491.0, 1748.3, 4689, 0
1060, 10, 43799, 394, 898.7, 888.4, 1236.6, 1470.7, 1748.0, 4840, 0
1070, 10, 43418, 402, 920.3, 902.6, 1297.7, 1498.4, 1745.8, 4598, 0
1080, 10, 43225, 375, 918.1, 900.6, 1290.2, 1496.5, 1773.6, 5260, 0
1090, 10, 43376, 400, 906.8, 893.1, 1248.0, 1483.0, 1746.0, 5044, 0
1100, 10, 43666, 407, 897.8, 888.4, 1235.8, 1466.4, 1740.4, 4782, 0
1110, 10, 43806, 383, 902.4, 890.8, 1242.6, 1477.8, 1743.3, 4683, 0
1120, 10, 43886, 394, 901.2, 890.3, 1237.7, 1471.9, 1735.5, 4931, 0
1130, 10, 43591, 394, 900.2, 889.1, 1239.4, 1482.3, 1733.9, 5083, 0
1140, 10, 43438, 396, 914.4, 897.9, 1279.9, 1494.9, 1743.4, 4804, 0
1150, 10, 43351, 407, 910.0, 896.3, 1257.1, 1488.5, 1741.8, 4588, 0
1160, 10, 43731, 402, 904.8, 892.3, 1244.6, 1480.5, 1733.3, 4280, 0
1170, 10, 44359, 400, 882.1, 879.1, 1213.0, 1421.8, 1668.4, 4574, 0
1180, 10, 43219, 401, 920.2, 902.0, 1295.0, 1498.1, 1747.2, 5490, 0
1190, 10, 43540, 391, 904.1, 891.4, 1243.6, 1478.3, 1736.1, 4597, 0
1200, 10, 43496, 398, 906.4, 893.2, 1247.0, 1484.9, 1742.0, 5449, 0
1201, 1, 3773, 437, 937.5, 909.7, 1341.0, 1537.6, 4056.7, 4876, 0
