elapsed, window, total, successful, failed
10, 10, 97280, 97280, 0
20, 10, 97692, 97692, 0
30, 10, 98821, 98821, 0
40, 10, 97677, 97677, 0
50, 10, 97822, 97822, 0
60, 10, 98520, 98520, 0
70, 10, 98181, 98181, 0
80, 10, 98440, 98440, 0
90, 10, 98098, 98098, 0
100, 10, 97755, 97755, 0
110, 10, 98907, 98907, 0
120, 10, 97340, 97340, 0
130, 10, 97997, 97997, 0
140, 10, 97492, 97492, 0
150, 10, 97293, 97293, 0
160, 10, 97463, 97463, 0
170, 10, 98075, 98075, 0
180, 10, 97975, 97975, 0
190, 10, 97730, 97730, 0
200, 10, 97309, 97309, 0
210, 10, 98158, 98158, 0
220, 10, 98127, 98127, 0
230, 10, 100050, 100050, 0
240, 10, 100248, 100248, 0
250, 10, 98423, 98423, 0
260, 10, 97829, 97829, 0
270, 10, 98936, 98936, 0
280, 10, 97554, 97554, 0
290, 10, 97760, 97760, 0
300, 10, 97669, 97669, 0
310, 10, 98283, 98283, 0
320, 10, 97581, 97581, 0
330, 10, 97859, 97859, 0
340, 10, 97786, 97786, 0
350, 10, 97392, 97392, 0
360, 10, 97332, 97332, 0
370, 10, 97548, 97548, 0
380, 10, 97735, 97735, 0
390, 10, 98164, 98164, 0
400, 10, 99060, 99060, 0
410, 10, 97321, 97321, 0
420, 10, 97352, 97352, 0
430, 10, 97570, 97570, 0
440, 10, 97863, 97863, 0
450, 10, 97593, 97593, 0
460, 10, 98574, 98574, 0
470, 10, 98081, 98081, 0
480, 10, 98743, 98743, 0
490, 10, 99032, 99032, 0
500, 10, 97520, 97520, 0
510, 10, 97540, 97540, 0
520, 10, 97734, 97734, 0
530, 10, 97823, 97823, 0
540, 10, 99570, 99570, 0
550, 10, 97678, 97678, 0
560, 10, 97759, 97759, 0
570, 10, 97714, 97714, 0
580, 10, 97562, 97562, 0
590, 10, 98126, 98126, 0
600, 10, 97884, 97884, 0
610, 10, 97804, 97804, 0
620, 10, 97618, 97618, 0
630, 10, 97853, 97853, 0
640, 10, 97742, 97742, 0
650, 10, 97842, 97842, 0
660, 10, 98487, 98487, 0
670, 10, 97915, 97915, 0
680, 10, 98201, 98201, 0
690, 10, 98943, 98943, 0
700, 10, 98296, 98296, 0
710, 10, 98188, 98188, 0
720, 10, 97410, 97410, 0
730, 10, 97949, 97949, 0
740, 10, 97606, 97606, 0
750, 10, 97401, 97401, 0
760, 10, 97514, 97514, 0
770, 10, 97940, 97940, 0
780, 10, 98542, 98542, 0
790, 10, 97910, 97910, 0
800, 10, 98122, 98122, 0
810, 10, 98120, 98120, 0
820, 10, 98466, 98466, 0
830, 10, 98111, 98111, 0
840, 10, 97190, 97190, 0
850, 10, 97556, 97556, 0
860, 10, 97862, 97862, 0
870, 10, 97698, 97698, 0
880, 10, 97818, 97818, 0
890, 10, 98014, 98014, 0
900, 10, 97755, 97755, 0
910, 10, 98937, 98937, 0
920, 10, 97927, 97927, 0
930, 10, 97544, 97544, 0
940, 10, 97066, 97066, 0
950, 10, 97364, 97364, 0
960, 10, 97902, 97902, 0
970, 10, 98266, 98266, 0
980, 10, 98307, 98307, 0
990, 10, 98412, 98412, 0
1000, 10, 98039, 98039, 0
1010, 10, 98446, 98446, 0
1020, 10, 98417, 98417, 0
1030, 10, 98389, 98389, 0
1040, 10, 98808, 98808, 0
1050, 10, 97940, 97940, 0
1060, 10, 98461, 98461, 0
1070, 10, 97224, 97224, 0
1080, 10, 97393, 97393, 0
1090, 10, 98009, 98009, 0
1100, 10, 98602, 98602, 0
1110, 10, 98270, 98270, 0
1120, 10, 98471, 98471, 0
1130, 10, 98427, 98427, 0
1140, 10, 97518, 97518, 0
1150, 10, 97862, 97862, 0
1160, 10, 98143, 98143, 0
1170, 10, 99638, 99638, 0
1180, 10, 97261, 97261, 0
1190, 10, 98310, 98310, 0
1200, 10, 98031, 98031, 0
1201, 1, 8474, 8474, 0
