elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 11439, 484, 1327.4, 1337.0, 1798.2, 1977.5, 2207.1, 2339, 0
20, 10, 11238, 462, 1332.6, 1342.4, 1803.9, 1979.2, 2205.9, 2401, 0
30, 10, 11258, 488, 1330.9, 1340.7, 1799.4, 1977.3, 2206.3, 2316, 0
40, 10, 11250, 453, 1332.5, 1341.9, 1794.6, 1976.4, 2205.5, 2284, 0
50, 10, 11334, 471, 1317.2, 1320.5, 1789.2, 1977.8, 2225.3, 2398, 0
60, 10, 11206, 461, 1335.5, 1344.1, 1808.5, 1981.5, 2212.9, 2369, 0
70, 10, 11421, 467, 1324.1, 1333.2, 1768.1, 1969.5, 2195.2, 2322, 0
80, 10, 11526, 449, 1327.2, 1337.6, 1784.8, 1976.6, 2211.9, 2363, 0
90, 10, 11338, 482, 1325.0, 1330.4, 1797.2, 1975.5, 2198.3, 2344, 0
100, 10, 11261, 461, 1336.7, 1347.6, 1799.7, 1978.7, 2209.4, 2439, 0
110, 10, 11289, 489, 1333.2, 1343.2, 1797.9, 1975.6, 2220.6, 2465, 0
120, 10, 11375, 479, 1333.1, 1341.2, 1794.1, 1971.3, 2198.8, 2532, 0
130, 10, 11381, 449, 1325.0, 1333.8, 1790.7, 1977.9, 2209.6, 2268, 0
140, 10, 11407, 470, 1329.3, 1338.0, 1798.8, 1977.3, 2202.7, 2272, 0
150, 10, 11359, 485, 1324.1, 1332.3, 1782.0, 1972.9, 2213.9, 2389, 0
160, 10, 11378, 477, 1320.6, 1325.5, 1787.1, 1976.8, 2208.1, 2528, 0
170, 10, 11317, 471, 1328.1, 1340.3, 1776.8, 1971.9, 2203.8, 2433, 0
180, 10, 11296, 473, 1322.7, 1330.9, 1775.0, 1966.2, 2175.0, 2335, 0
190, 10, 11336, 464, 1327.8, 1333.9, 1802.2, 1978.5, 2216.0, 2330, 0
200, 10, 11317, 472, 1331.7, 1342.6, 1792.8, 1975.3, 2211.9, 2426, 0
210, 10, 11303, 500, 1328.1, 1334.7, 1787.5, 1978.1, 2230.1, 5971, 0
220, 10, 11398, 466, 1328.0, 1336.0, 1792.3, 1983.3, 2233.6, 5023, 0
230, 10, 11276, 455, 1331.3, 1339.4, 1799.9, 1974.2, 2201.9, 4758, 0
240, 10, 11304, 479, 1330.0, 1335.2, 1789.7, 1975.4, 2226.6, 5168, 0
250, 10, 11327, 478, 1334.8, 1346.3, 1796.0, 1979.6, 2219.0, 4957, 0
260, 10, 11307, 442, 1331.0, 1338.8, 1795.8, 1976.4, 2222.4, 5343, 0
270, 10, 11263, 435, 1323.8, 1329.2, 1782.1, 1977.6, 2222.0, 5653, 0
280, 10, 11446, 446, 1329.0, 1338.4, 1792.9, 1982.0, 2212.7, 2447, 0
