elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 45238, 398, 1327.8, 1336.7, 1791.6, 1972.7, 2195.6, 2398, 0
20, 10, 45614, 441, 1332.6, 1342.5, 1798.9, 1977.7, 2205.6, 2310, 0
30, 10, 45423, 456, 1332.8, 1341.3, 1803.1, 1976.8, 2205.1, 2436, 0
40, 10, 45699, 453, 1333.1, 1343.0, 1795.8, 1977.5, 2215.5, 2525, 0
50, 10, 45528, 464, 1321.6, 1324.7, 1788.5, 1976.6, 2210.4, 2472, 0
60, 10, 45434, 453, 1332.6, 1341.1, 1797.9, 1976.0, 2204.5, 2721, 0
70, 10, 45634, 449, 1326.5, 1335.3, 1785.5, 1973.1, 2205.2, 2438, 0
80, 10, 45447, 447, 1327.8, 1337.2, 1786.7, 1974.0, 2201.7, 2564, 0
90, 10, 45407, 441, 1328.6, 1335.4, 1791.4, 1975.2, 2203.5, 2350, 0
100, 10, 45492, 433, 1331.0, 1340.9, 1796.1, 1975.7, 2205.4, 2372, 0
110, 10, 45469, 459, 1333.6, 1343.6, 1797.8, 1977.5, 2212.1, 2442, 0
120, 10, 45414, 416, 1328.8, 1338.0, 1790.8, 1974.5, 2198.7, 2414, 0
130, 10, 45492, 445, 1327.5, 1336.7, 1798.8, 1977.9, 2209.7, 2755, 0
140, 10, 45383, 444, 1328.0, 1336.2, 1791.6, 1974.6, 2205.0, 2547, 0
150, 10, 45593, 449, 1326.4, 1333.5, 1787.1, 1974.0, 2206.9, 2392, 0
160, 10, 45396, 430, 1325.4, 1330.7, 1781.7, 1973.2, 2199.2, 2396, 0
170, 10, 45402, 476, 1333.7, 1343.3, 1798.7, 1977.6, 2209.2, 2419, 0
180, 10, 45415, 453, 1325.0, 1332.3, 1797.5, 1976.0, 2200.7, 2725, 0
190, 10, 45401, 456, 1327.2, 1335.5, 1800.4, 1977.8, 2210.2, 2435, 0
200, 10, 45539, 445, 1333.9, 1343.8, 1807.4, 1981.8, 2216.0, 2580, 0
210, 10, 45510, 469, 1330.1, 1338.7, 1785.0, 1974.9, 2225.4, 5870, 0
220, 10, 45271, 459, 1326.0, 1333.0, 1795.0, 1976.6, 2217.2, 5812, 0
230, 10, 45385, 465, 1328.8, 1335.4, 1793.3, 1976.1, 2221.0, 5860, 0
240, 10, 45342, 450, 1330.6, 1337.9, 1802.2, 1979.1, 2226.2, 5506, 0
250, 10, 45568, 471, 1335.4, 1344.5, 1807.2, 1981.3, 2221.5, 5647, 0
260, 10, 45672, 465, 1328.1, 1336.2, 1786.2, 1973.8, 2203.6, 5537, 0
270, 10, 45121, 453, 1324.9, 1329.3, 1785.7, 1974.6, 2216.8, 5738, 0
280, 10, 45585, 455, 1324.6, 1332.0, 1794.2, 1977.2, 2216.3, 5638, 0
290, 10, 45262, 458, 1327.4, 1334.2, 1793.5, 1976.8, 2215.7, 6019, 0
300, 10, 45520, 438, 1326.7, 1332.0, 1789.9, 1975.4, 2213.8, 5243, 0
310, 10, 45429, 466, 1335.1, 1345.2, 1804.7, 1978.3, 2213.1, 5565, 0
320, 10, 45171, 446, 1313.8, 1316.7, 1774.0, 1970.9, 2202.1, 5233, 0
330, 10, 45619, 453, 1328.5, 1337.5, 1792.7, 1974.8, 2203.1, 5369, 0
340, 10, 45592, 460, 1331.4, 1341.7, 1799.1, 1974.6, 2203.3, 5236, 0
350, 10, 45257, 465, 1335.6, 1346.2, 1801.9, 1977.4, 2211.0, 5045, 0
360, 10, 45453, 423, 1326.3, 1334.9, 1787.7, 1976.2, 2209.8, 4959, 0
370, 10, 45316, 455, 1331.7, 1340.9, 1792.3, 1978.0, 2220.0, 5284, 0
380, 10, 45685, 473, 1333.4, 1343.1, 1798.3, 1978.9, 2215.4, 5595, 0
390, 10, 45741, 463, 1329.1, 1339.5, 1781.2, 1974.4, 2213.7, 5374, 0
400, 10, 45375, 431, 1328.4, 1334.7, 1796.2, 1975.4, 2217.9, 5464, 0
410, 10, 45574, 459, 1329.2, 1339.7, 1786.3, 1976.5, 2213.6, 5225, 0
420, 10, 45335, 458, 1331.2, 1341.3, 1792.7, 1974.1, 2206.7, 4980, 0
430, 10, 45313, 436, 1331.0, 1339.2, 1793.5, 1978.4, 2218.4, 5603, 0
440, 10, 45554, 457, 1326.1, 1334.5, 1791.2, 1975.6, 2218.2, 4778, 0
450, 10, 45427, 453, 1335.3, 1345.6, 1800.5, 1979.2, 2225.5, 5465, 0
460, 10, 45516, 459, 1329.4, 1336.7, 1795.4, 1977.3, 2213.2, 5517, 0
470, 10, 45620, 461, 1326.8, 1333.8, 1788.3, 1976.1, 2224.1, 5608, 0
480, 10, 45495, 445, 1334.2, 1342.6, 1804.3, 1978.4, 2219.5, 5656, 0
490, 10, 45269, 423, 1338.0, 1348.2, 1807.0, 1980.1, 2219.0, 5589, 0
500, 10, 45303, 464, 1335.2, 1343.6, 1804.2, 1980.0, 2217.3, 5488, 0
